代码,名称,最新价,市盈率(TTM),市净率
00683,嘉里建设,19.46,3.03,0.25
01810,小米集团-W,11.86,148.0,1.89
00874,白云山,23.4,8.86,1.09
00493,国美零售,0.128,-0.81,0.22
00659,新创建集团,7.27,17.92,0.66
01258,中国有色矿业,4.3,6.51,1.28
00700,腾讯控股,391.8,19.16,4.49
06055,中烟香港,12.22,27.62,4.53
01821,ESR,17.54,19.12,1.19
02020,安踏体育,119.2,37.04,8.74
06855,亚盛医药-B,24.35,-6.8,6.3
00799,IGG,3.1,-9.8,1.19
00165,中国光大控股,6.21,-5.62,0.25
01800,中国交通建设,4.0,3.05,0.25
02588,中银航空租赁,67.05,-1150.01,1.21
01030,新城发展,3.15,2.55,0.43
01157,中联重科,4.51,13.01,0.66
01108,洛阳玻璃股份,9.49,26.91,1.35
00317,中船防务,7.24,95.39,0.62
00788,中国铁塔,0.91,17.1,0.72
02338,潍柴动力,11.86,20.78,1.32
00392,北京控股,27.4,4.0,0.36
01618,中国中冶,1.83,3.83,0.39
01071,华电国际电力股份,3.21,-10.86,0.46
02121,创新奇智,25.45,-20.68,4.91
01818,招金矿业,9.26,103.71,2.31
01066,威高股份,13.98,21.91,2.65
00588,北京北辰实业股份,0.94,-3.17,0.21
00187,京城机电股份,3.29,362.64,1.51
01888,建滔积层板,9.43,5.6,1.79
06616,环球新材国际,4.74,27.73,2.12
06600,赛生药业,9.99,7.13,2.3
00148,建滔集团,30.95,4.22,0.56
00992,联想集团,6.21,4.55,1.85
09926,康方生物-B,47.8,-26.85,13.18
02618,京东物流,16.28,-83.66,2.04
01177,中国生物制药,4.84,9.67,2.58
00719,山东新华制药股份,6.87,11.74,1.02
02150,奈雪的茶,6.38,-20.46,1.92
00173,嘉华国际,2.95,2.53,0.21
01093,石药集团,9.35,17.59,3.4
01336,新华保险,22.15,7.64,0.62
01257,中国光大绿色环保,1.97,5.22,0.31
02333,长城汽车,10.84,8.56,1.2
01833,平安好医生,22.35,-19.75,1.58
01385,上海复旦,32.45,24.32,5.66
00267,中信股份,9.01,3.44,0.35
03899,中集安瑞科,9.08,16.76,1.88
03968,招商银行,50.65,8.27,1.21
09668,渤海银行,1.52,3.0,0.26
01997,九龙仓置业,46.4,-2997.47,0.71
00019,太古股份公司A,72.2,17.35,0.4
01313,华润水泥控股,4.65,7.57,0.67
01530,三生制药,8.86,10.83,1.54
02246,快狗打车,3.66,-1.16,1.23
00388,香港交易所,368.4,47.79,9.94
01882,海天国际,23.75,12.28,2.04
00142,第一太平,2.64,3.62,0.44
09989,海普瑞,5.85,17.99,0.63
09666,金科服务,13.88,8.71,1.03
02137,腾盛博药-B,8.58,-3.42,1.67
02628,中国人寿,15.02,11.44,0.85
00902,华能国际电力股份,3.77,-3.43,1.04
01919,中远海控,8.1,0.99,0.53
06690,海尔智家,30.05,17.37,2.8
06100,同道猎聘,10.98,19.84,1.56
01065,天津创业环保股份,3.3,6.0,0.56
00008,电讯盈科,3.86,23.6,4.96
06185,康希诺生物,71.8,151.48,2.23
03908,中金公司,17.72,8.29,0.95
00570,中国中药,3.89,11.83,0.85
02039,中集集团,6.15,30.49,0.66
00336,华宝国际,4.48,-103.53,0.92
00916,龙源电力,11.22,15.17,1.28
00144,招商局港口,11.3,5.48,0.47
01995,旭辉永升服务,4.54,9.55,1.47
00568,山东墨龙,2.84,-3.88,1.79
01668,华南城,0.57,18.1,0.15
02357,中航科工,4.01,11.38,0.97
06160,百济神州,166.3,-13.6,5.4
00909,明源云,8.03,-12.57,2.45
03301,融信中国,1.15,-0.43,0.12
02600,中国铝业,4.08,14.6,1.09
03377,远洋集团,1.17,12.06,0.15
09983,建业新生活,3.52,5.93,1.33
01458,周黑鸭,4.13,64.13,2.09
02138,医思健康,9.48,95.76,5.77
00981,中芯国际,17.8,10.12,0.96
00004,九龙仓集团,21.0,12.74,0.41
00914,海螺水泥,30.25,6.21,0.8
00880,澳博控股,4.86,-5.68,1.91
00956,新天绿色能源,3.68,6.42,0.74
00817,中国金茂,1.85,7.12,0.41
00119,保利置业集团,1.87,3.07,0.19
00995,安徽皖通高速公路,6.97,7.22,0.9
06886,华泰证券,10.2,8.27,0.59
00256,冠城钟表珠宝,1.28,-44.35,1.35
01860,汇量科技,4.52,24.49,3.83
01816,中广核电力,1.94,9.06,0.84
00083,信和置业,10.38,14.59,0.53
00095,绿景中国地产,1.31,4.99,0.22
01268,美东汽车,19.84,23.47,5.32
01686,新意网集团,4.65,12.84,2.38
09996,沛嘉医疗-B,10.66,-12.58,2.09
00548,深圳高速公路股份,7.33,5.37,0.8
03320,华润医药,6.0,8.65,0.75
00175,吉利汽车,12.04,25.77,1.53
00023,东亚银行,10.1,6.6,0.28
02196,复星医药,27.0,18.0,1.5
00288,万洲国际,4.76,6.62,0.86
02013,微盟集团,6.13,-17.48,4.34
00855,中国水务,6.85,6.06,0.9
01308,海丰国际,16.48,3.05,2.55
01310,香港宽频,5.5,13.04,1.47
06878,鼎丰集团汽车,0.208,2.71,0.46
00856,伟仕佳杰,4.87,6.03,0.94
06837,海通证券,5.57,9.3,0.4
00941,中国移动,55.9,8.47,0.85
00921,海信家电,11.3,9.76,1.25
02880,辽港股份,0.71,10.85,0.4
02382,舜宇光学科技,106.9,27.41,4.83
01963,重庆银行,4.29,2.79,0.3
01801,信达生物,43.1,-29.75,5.9
03309,希玛眼科,5.03,277.43,3.46
06186,中国飞鹤,7.94,11.45,2.82
01361,361度,3.61,8.5,0.83
02158,医渡科技,6.51,-8.76,1.46
00873,世茂服务,2.92,9.17,0.71
01896,猫眼娱乐,10.26,75.32,1.23
02005,石四药集团,5.15,13.72,2.47
00604,深圳控股,1.48,-7.51,0.27
01972,太古地产,22.25,13.77,0.45
06826,昊海生物科技,40.85,31.62,1.16
02269,药明生物,71.35,63.17,7.48
01448,福寿园,6.84,22.11,2.61
00998,中信银行,3.8,2.67,0.25
02096,先声药业,10.66,23.94,3.96
00836,华润电力,16.86,247.86,0.94
03866,青岛银行,3.07,5.21,0.54
02678,天虹纺织,6.91,2.27,0.51
00868,信义玻璃,16.9,7.32,2.12
02356,大新银行集团,6.16,5.26,0.29
06030,中信证券,18.5,11.6,0.97
03900,绿城中国,12.36,6.95,0.75
00354,中国软件国际,6.98,15.17,1.5
01528,红星美凯龙,3.89,11.78,0.28
01600,天伦燃气,4.7,6.18,0.75
00489,东风集团股份,4.7,4.16,0.23
01958,北京汽车,2.37,3.9,0.32
