date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2010-09-27,47.45,54.06,21.46,49.65,114.44
2010-09-28,49.49,56.38,22.38,51.79,119.35
2010-09-29,47.22,53.8,21.35,49.41,113.87
2010-09-30,47.62,58.93,20.02,54.12,124.74
2010-10-04,48.78,60.36,20.51,55.44,127.76
2010-10-05,48.39,59.88,20.34,55.0,126.75
2010-10-06,47.34,58.59,19.9,53.81,124.01
2010-10-07,46.19,57.16,19.42,52.5,120.99
2010-10-08,45.75,56.61,19.23,52.0,119.83
2010-10-11,45.75,56.61,19.23,52.0,119.83
2010-10-12,45.53,56.34,19.14,51.75,119.26
2010-10-13,46.02,56.95,19.35,52.31,120.55
2010-10-14,44.92,55.59,18.89,51.06,117.67
2010-10-15,44.32,54.84,18.63,50.37,116.08
2010-10-18,43.16,53.41,18.15,49.06,113.05
2010-10-19,44.98,55.66,18.91,51.12,117.81
2010-10-20,45.69,56.54,19.21,51.93,119.69
2010-10-21,44.54,55.11,18.72,50.62,116.66
2010-10-22,44.54,55.11,18.72,50.62,116.66
2010-10-25,44.59,55.18,18.75,50.68,116.8
2010-10-26,44.43,54.98,18.68,50.49,116.37
2010-10-27,43.55,53.89,18.31,49.49,114.06
2010-10-28,42.22,52.25,17.75,47.99,110.6
2010-10-29,43.49,53.82,18.28,49.43,113.92
2010-11-01,44.65,55.25,18.77,50.75,116.95
2010-11-02,46.08,57.02,19.37,52.37,120.7
2010-11-03,45.75,56.61,19.23,52.0,119.83
2010-11-04,45.64,56.48,19.19,51.87,119.54
2010-11-05,44.87,55.52,18.86,51.0,117.52
2010-11-08,45.2,55.93,19.0,51.37,118.39
2010-11-09,44.65,55.25,18.77,50.75,116.95
2010-11-10,44.65,55.25,18.77,50.75,116.95
2010-11-11,45.03,55.73,18.93,51.18,117.96
2010-11-12,45.03,55.73,18.93,51.18,117.96
2010-11-15,44.1,54.57,18.54,50.12,115.51
2010-11-16,42.77,52.93,17.98,48.62,112.05
2010-11-17,40.9,50.62,17.2,46.49,107.14
2010-11-18,41.4,51.23,17.41,47.05,108.44
2010-11-19,42.0,51.98,17.66,47.74,110.03
2010-11-22,41.51,51.37,17.45,47.18,108.73
2010-11-23,41.29,51.09,17.36,46.93,108.15
2010-11-24,41.07,50.82,17.27,46.68,107.57
2010-11-25,40.41,50.0,16.99,45.93,105.84
2010-11-26,39.75,49.19,16.71,45.18,104.11
2010-11-29,39.69,49.12,16.69,45.11,103.97
2010-11-30,41.29,51.09,17.36,46.93,108.15
2010-12-01,41.34,51.16,17.38,46.99,108.3
2010-12-02,40.9,50.62,17.2,46.49,107.14
2010-12-03,42.28,52.32,17.78,48.05,110.75
2010-12-06,42.17,52.18,17.73,47.93,110.46
2010-12-07,41.84,51.78,17.59,47.55,109.59
2010-12-08,40.41,50.0,16.99,45.93,105.84
2010-12-09,39.91,49.39,16.78,45.36,104.55
2010-12-10,39.47,48.85,16.6,44.86,103.39
2010-12-13,39.64,49.05,16.66,45.05,103.83
2010-12-14,39.8,49.25,16.73,45.24,104.26
2010-12-15,39.47,48.85,16.6,44.86,103.39
2010-12-16,38.81,48.03,16.32,44.11,101.66
2010-12-17,39.03,48.3,16.41,44.36,102.24
2010-12-20,39.69,49.12,16.69,45.11,103.97
2010-12-21,40.35,49.94,16.97,45.86,105.7
2010-12-22,41.23,51.03,17.34,46.87,108.01
2010-12-23,40.68,50.34,17.1,46.24,106.57
2010-12-24,40.35,49.94,16.97,45.86,105.7
2010-12-28,39.8,49.25,16.73,45.24,104.26
2010-12-29,40.02,49.53,16.83,45.49,104.84
2010-12-30,39.69,49.12,16.69,45.11,103.97
2010-12-31,40.96,50.69,17.22,46.55,107.29
2011-01-03,40.96,50.69,17.22,46.55,107.29
2011-01-04,41.07,50.82,17.27,46.68,107.57
2011-01-05,41.12,50.89,17.29,46.74,107.72
2011-01-06,41.45,51.3,17.43,47.12,108.58
2011-01-07,40.68,50.34,17.1,46.24,106.57
2011-01-10,39.47,48.85,16.6,44.86,103.39
2011-01-11,39.64,49.05,16.66,45.05,103.83
2011-01-12,39.64,49.05,16.66,45.05,103.83
2011-01-13,39.42,48.78,16.57,44.8,103.25
2011-01-14,39.31,48.64,16.53,44.68,102.96
2011-01-17,38.87,48.1,16.34,44.18,101.81
2011-01-18,38.76,47.96,16.29,44.05,101.52
2011-01-19,38.54,47.69,16.2,43.8,100.94
2011-01-20,37.43,46.33,15.74,42.55,98.06
2011-01-21,36.11,44.69,15.18,41.05,94.6
2011-01-24,35.78,44.28,15.04,40.67,93.73
2011-01-25,35.62,44.08,14.97,40.48,93.3
2011-01-26,34.63,42.85,14.56,39.36,90.7
2011-01-27,33.75,41.76,14.19,38.36,88.4
2011-01-28,33.75,41.76,14.19,38.36,88.4
2011-01-31,34.02,42.1,14.3,38.67,89.12
2011-02-01,33.97,42.03,14.28,38.61,88.97
2011-02-02,34.46,42.65,14.49,39.17,90.27
2011-02-07,35.12,43.46,14.77,39.92,92.0
2011-02-08,34.9,43.19,14.67,39.67,91.42
2011-02-09,34.02,42.1,14.3,38.67,89.12
2011-02-10,32.37,40.06,13.61,36.79,84.79
2011-02-11,31.54,39.04,13.26,35.85,82.63
2011-02-14,31.54,39.04,13.26,35.85,82.63
2011-02-15,30.44,37.67,12.8,34.6,79.74
2011-02-16,31.27,38.7,13.15,35.54,81.91
2011-02-17,30.5,37.74,12.82,34.66,79.89
2011-02-18,30.77,38.08,12.94,34.98,80.61
2011-02-21,31.16,38.56,13.1,35.42,81.62
2011-02-22,30.83,38.15,12.96,35.04,80.75
2011-02-23,30.61,37.88,12.87,34.79,80.18
2011-02-24,29.29,36.24,12.31,33.29,76.72
2011-02-25,29.62,36.65,12.45,33.66,77.58
2011-02-28,29.89,36.99,12.57,33.98,78.3
2011-03-01,31.6,39.1,13.29,35.92,82.77
2011-03-02,32.43,40.13,13.63,36.85,84.94
2011-03-03,32.2,39.85,13.54,36.6,84.36
2011-03-04,32.65,40.4,13.73,37.1,85.51
2011-03-07,32.32,39.99,13.59,36.73,84.65
2011-03-08,31.38,38.83,13.19,35.67,82.2
2011-03-09,30.44,37.67,12.8,34.6,79.74
2011-03-10,30.66,37.95,12.89,34.85,80.32
2011-03-11,30.22,37.4,12.71,34.35,79.17
2011-03-14,30.77,38.08,12.94,34.98,80.61
2011-03-15,29.95,37.06,12.59,34.04,78.45
2011-03-16,31.16,38.56,13.1,35.42,81.62
2011-03-17,30.61,37.88,12.87,34.79,80.18
2011-03-18,30.83,38.15,12.96,35.04,80.75
2011-03-21,30.94,38.29,13.01,35.16,81.04
2011-03-22,31.87,39.44,13.4,36.23,83.49
2011-03-23,28.47,28.47,12.89,34.85,80.32
2011-03-24,27.96,27.96,12.66,34.23,78.88
2011-03-25,27.96,27.96,12.66,34.23,78.88
2011-03-28,27.6,27.6,12.5,33.79,77.87
2011-03-29,28.01,28.01,12.68,34.29,79.02
2011-03-30,27.96,27.96,12.66,34.23,78.88
2011-03-31,28.01,28.01,12.68,34.29,79.02
2011-04-01,28.72,28.72,13.01,35.16,81.04
2011-04-04,28.57,28.57,12.94,34.98,80.61
2011-04-06,29.85,29.85,13.52,36.54,84.21
