date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2005-12-20,10.33,13.35,1.25,66.76,478.03
2005-12-21,10.33,13.35,1.25,66.76,478.03
2005-12-22,10.33,13.35,1.25,66.76,478.03
2005-12-23,10.33,13.35,1.25,66.76,478.03
2005-12-28,10.38,13.41,1.26,67.07,480.23
2005-12-29,10.36,13.38,1.25,66.92,479.13
2005-12-30,10.17,13.13,1.23,65.69,470.36
2006-01-03,10.24,13.23,1.24,66.15,473.65
2006-01-04,10.38,13.41,1.26,67.07,480.23
2006-01-05,10.43,13.47,1.26,67.38,482.42
2006-01-06,10.45,13.5,1.27,67.53,483.52
2006-01-09,10.55,13.62,1.28,68.14,487.9
2006-01-10,10.5,13.56,1.27,67.84,485.71
2006-01-11,10.52,13.59,1.27,67.99,486.81
2006-01-12,10.69,13.81,1.29,69.06,494.48
2006-01-13,10.76,13.9,1.3,69.52,497.77
2006-01-16,10.83,13.99,1.31,69.98,501.06
2006-01-17,10.71,13.84,1.3,69.21,495.58
2006-01-18,10.64,13.75,1.29,68.76,492.29
2006-01-19,10.74,13.87,1.3,69.37,496.67
2006-01-20,10.83,13.99,1.31,69.98,501.06
2006-01-23,10.69,13.81,1.29,69.06,494.48
2006-01-24,10.78,13.93,1.31,69.67,498.87
2006-01-25,10.81,13.96,1.31,69.83,499.96
2006-01-26,10.83,13.99,1.31,69.98,501.06
2006-01-27,10.9,14.08,1.32,70.44,504.35
2006-02-01,10.9,14.09,1.32,70.45,504.45
2006-02-02,10.86,14.03,1.31,70.15,502.25
2006-02-03,10.62,13.72,1.29,68.62,491.29
2006-02-06,10.64,13.75,1.29,68.77,492.38
2006-02-07,10.69,13.81,1.29,69.07,494.58
2006-02-08,10.5,13.57,1.27,67.85,485.8
2006-02-09,10.55,13.63,1.28,68.16,488.0
2006-02-10,10.53,13.6,1.27,68.0,486.9
2006-02-13,10.45,13.5,1.27,67.54,483.61
2006-02-14,10.5,13.57,1.27,67.85,485.8
2006-02-15,10.67,13.78,1.29,68.92,493.48
2006-02-16,10.83,13.99,1.31,69.99,501.16
2006-02-17,10.98,14.18,1.33,70.91,507.74
2006-02-20,11.0,14.21,1.33,71.07,508.83
2006-02-21,10.98,14.18,1.33,70.91,507.74
2006-02-22,10.98,14.18,1.33,70.91,507.74
2006-02-23,11.02,14.24,1.33,71.22,509.93
2006-02-24,10.98,14.18,1.33,70.91,507.74
2006-02-27,11.0,14.21,1.33,71.07,508.83
2006-02-28,11.0,14.21,1.33,71.07,508.86
2006-03-01,11.02,14.24,1.33,71.22,509.96
2006-03-02,11.24,14.52,1.36,72.6,519.83
2006-03-03,11.21,14.49,1.36,72.45,518.73
2006-03-06,11.09,14.33,1.34,71.68,513.25
2006-03-07,10.93,14.12,1.32,70.61,505.57
2006-03-08,10.88,14.06,1.32,70.3,503.38
2006-03-09,11.02,14.24,1.33,71.22,509.96
2006-03-10,10.91,14.09,1.32,70.46,504.47
2006-03-13,10.91,14.09,1.32,70.46,504.47
2006-03-14,10.83,14.0,1.31,70.0,501.18
2006-03-15,10.81,13.97,1.31,69.84,500.09
2006-03-16,10.88,14.06,1.32,70.3,503.38
2006-03-17,10.93,14.12,1.32,70.61,505.57
2006-03-20,11.09,14.33,1.34,71.68,513.25
2006-03-21,11.17,14.42,1.35,72.14,516.54
2006-03-22,11.05,14.27,1.34,71.38,511.05
2006-03-23,12.78,12.78,1.33,71.22,509.96
2006-03-24,12.73,12.73,1.33,70.92,507.76
2006-03-27,12.84,12.84,1.34,71.53,512.15
2006-03-28,12.98,12.98,1.36,72.3,517.63
2006-03-29,13.03,13.03,1.36,72.6,519.83
2006-03-30,13.11,13.11,1.37,73.06,523.12
2006-03-31,12.81,12.81,1.34,71.38,511.05
2006-04-03,13.11,13.11,1.37,73.06,523.12
2006-04-04,14.16,14.16,1.48,78.88,564.79
2006-04-06,14.87,14.87,1.55,82.86,593.31
2006-04-07,14.49,14.49,1.51,80.72,577.95
2006-04-10,14.54,14.54,1.48,46.98,580.15
2006-04-11,14.65,14.65,1.49,47.33,584.53
2006-04-12,14.74,14.74,1.5,47.6,587.82
2006-04-13,15.29,15.29,1.56,49.37,609.76
2006-04-18,15.34,15.34,1.57,49.55,611.95
2006-04-19,15.7,15.7,1.6,50.7,626.21
2006-04-20,15.45,15.45,1.58,49.91,616.34
2006-04-21,15.59,15.59,1.59,50.35,621.82
2006-04-24,15.31,15.31,1.56,49.46,610.85
2006-04-25,15.07,15.07,1.54,48.66,600.98
2006-04-26,14.74,14.74,1.5,47.6,587.82
2006-04-27,14.96,14.96,1.53,48.31,596.6
2006-04-28,15.34,15.34,1.57,49.55,611.95
2006-05-02,14.76,14.76,1.51,47.69,588.95
2006-05-03,14.85,14.85,1.51,47.95,592.24
2006-05-04,14.49,14.49,1.48,46.8,577.98
2006-05-08,14.19,14.19,1.45,45.82,565.92
2006-05-09,14.05,14.05,1.43,45.38,560.44
2006-05-10,13.86,13.86,1.41,44.76,552.76
2006-05-11,14.02,14.02,1.43,45.29,559.34
2006-05-12,13.83,13.83,1.41,44.67,551.66
2006-05-15,13.64,13.64,1.39,44.05,543.98
2006-05-16,13.22,13.22,1.35,42.72,527.53
2006-05-17,13.28,13.28,1.35,42.89,529.73
2006-05-18,12.95,12.95,1.32,41.83,516.57
2006-05-19,13.22,13.22,1.35,42.72,527.53
2006-05-22,13.0,13.0,1.33,42.0,518.76
2006-05-23,12.78,12.78,1.3,41.29,509.99
2006-05-24,12.56,12.56,1.28,40.58,501.21
2006-05-25,12.34,12.34,1.26,39.87,492.44
2006-05-26,12.62,12.62,1.29,40.76,503.4
2006-05-29,12.65,12.65,1.29,40.85,504.5
2006-05-30,12.73,12.73,1.3,41.12,507.79
2006-06-01,12.87,12.87,1.31,41.57,513.37
2006-06-02,13.06,13.06,1.33,42.19,521.04
2006-06-05,13.06,13.06,1.33,42.19,521.04
2006-06-06,13.06,13.06,1.33,42.19,521.04
2006-06-07,13.06,13.06,1.33,42.19,521.04
2006-06-08,13.06,13.06,1.33,42.19,521.04
2006-06-09,12.65,12.65,1.29,40.86,504.59
2006-06-12,12.4,12.4,1.27,40.06,494.72
2006-06-13,11.96,11.96,1.22,38.64,477.17
2006-06-14,11.74,11.74,1.2,37.93,468.39
2006-06-15,12.07,12.07,1.23,38.99,481.55
2006-06-16,12.43,12.43,1.27,40.15,495.81
2006-06-19,12.37,12.37,1.26,39.97,493.62
2006-06-20,12.15,12.15,1.24,39.26,484.85
2006-06-21,12.24,12.24,1.25,39.53,488.14
2006-06-22,12.35,12.35,1.26,39.88,492.52
2006-06-23,12.18,12.18,1.24,39.35,485.94
2006-06-26,12.15,12.15,1.24,39.26,484.85
2006-06-27,12.18,12.18,1.24,39.35,485.94
2006-06-28,12.15,12.15,1.24,39.26,484.85
2006-06-29,12.35,12.35,1.26,39.88,492.52
2006-06-30,12.59,12.59,1.28,40.66,502.09
2006-07-03,12.86,12.86,1.31,41.54,513.06
2006-07-04,12.83,12.83,1.31,41.45,511.96
2006-07-05,12.64,12.64,1.29,40.83,504.28
2006-07-06,12.59,12.59,1.28,40.66,502.09
2006-07-07,12.42,12.42,1.27,40.12,495.51
2006-07-10,12.56,12.56,1.28,40.57,501.0
2006-07-11,12.45,12.45,1.27,40.21,496.61
2006-07-12,12.48,12.48,1.27,40.3,497.71
2006-07-13,12.31,12.31,1.26,39.77,491.13
2006-07-14,12.2,12.2,1.24,39.41,486.74
2006-07-17,12.15,12.15,1.24,39.24,484.55
2006-07-18,12.12,12.12,1.24,39.15,483.46
2006-07-19,12.12,12.12,1.24,39.15,483.46
2006-07-20,12.42,12.42,1.27,40.12,495.51
2006-07-21,12.56,12.56,1.28,40.57,501.0
2006-07-24,12.48,12.48,1.27,40.3,497.71
2006-07-25,12.39,12.39,1.26,40.03,494.42
2006-07-26,12.26,12.26,1.25,39.59,488.94
2006-07-27,12.45,12.45,1.27,40.21,496.61
2006-07-28,12.37,12.37,1.26,39.95,493.32
2006-07-31,12.49,12.49,1.27,40.33,498.07
2006-08-01,12.54,12.54,1.28,40.51,500.26
2006-08-02,12.54,12.54,1.28,40.51,500.26
2006-08-03,12.49,12.49,1.27,40.33,498.07
2006-08-04,12.27,12.27,1.25,39.62,489.29
2006-08-07,12.57,12.57,1.28,40.6,501.36
2006-08-08,12.46,12.46,1.27,40.24,496.97
2006-08-09,12.57,12.57,1.28,40.6,501.36
2006-08-10,12.51,12.51,1.28,40.42,499.17
2006-08-11,12.62,12.62,1.29,40.77,503.56
2006-08-14,12.57,12.57,1.28,40.6,501.36
2006-08-15,12.62,12.62,1.29,40.77,503.56
2006-08-16,12.82,12.82,1.31,41.4,511.24
2006-08-17,12.98,12.98,1.32,41.93,517.82
2006-08-18,13.28,13.28,1.36,42.91,529.89
2006-08-21,11.33,13.23,1.35,42.73,527.69
2006-08-22,11.43,13.34,1.36,43.08,532.08
2006-08-23,11.57,13.5,1.38,43.62,538.66
2006-08-24,11.57,13.5,1.38,43.62,538.66
2006-08-25,11.62,13.56,1.38,43.79,540.86
2006-08-28,11.52,13.45,1.37,43.44,536.47
2006-08-29,11.59,13.53,1.38,43.71,539.76
2006-08-30,11.76,13.72,1.32,44.33,547.44
2006-08-31,11.71,13.67,1.31,44.15,545.24
2006-09-01,11.83,13.81,1.32,44.59,550.73
2006-09-04,11.9,13.89,1.33,44.86,554.02
2006-09-05,11.5,13.42,1.29,43.35,535.37
2006-09-06,11.4,13.31,1.28,42.99,530.98
2006-09-07,11.19,13.06,1.25,42.2,521.11
2006-09-08,11.22,13.09,1.25,42.28,522.21
2006-09-11,11.1,12.95,1.24,41.84,516.72
2006-09-12,11.19,13.06,1.25,42.2,521.11
2006-09-13,11.26,13.15,1.26,42.46,524.4
2006-09-14,11.31,13.2,1.27,42.64,526.59
2006-09-15,11.24,13.12,1.26,42.37,523.3
2006-09-18,11.33,13.23,1.27,42.73,527.69
2006-09-19,11.45,13.37,1.28,43.17,533.18
2006-09-20,11.48,13.39,1.28,43.26,534.27
2006-09-21,11.43,13.34,1.28,43.08,532.08
2006-09-22,11.24,13.12,1.26,42.37,523.3
2006-09-25,11.1,12.95,1.24,41.84,516.72
2006-09-26,11.1,12.95,1.24,41.84,516.72
2006-09-27,11.07,12.93,1.24,41.75,515.62
2006-09-28,11.24,13.12,1.26,42.37,523.3
2006-09-29,11.31,13.2,1.27,42.64,526.59
2006-10-03,11.43,13.34,1.28,43.08,532.08
2006-10-04,11.29,13.17,1.26,42.55,525.5
2006-10-05,11.31,13.2,1.27,42.64,526.59
2006-10-06,11.26,13.15,1.26,42.46,524.4
2006-10-09,11.17,13.04,1.25,42.11,520.01
2006-10-10,11.22,13.09,1.25,42.28,522.21
2006-10-11,11.17,13.04,1.25,42.11,520.01
2006-10-12,11.24,13.12,1.26,42.37,523.3
2006-10-13,11.33,13.23,1.27,42.73,527.69
2006-10-16,11.26,13.15,1.26,42.46,524.4
2006-10-17,11.33,13.23,1.27,42.73,527.69
2006-10-18,11.45,13.37,1.28,43.17,533.18
2006-10-19,11.26,13.15,1.26,42.46,524.4
2006-10-20,11.38,13.28,1.27,42.91,529.89
2006-10-23,11.38,13.28,1.27,42.91,529.89
2006-10-24,11.4,13.31,1.28,42.99,530.98
2006-10-25,11.5,13.42,1.29,43.35,535.37
2006-10-26,11.55,13.48,1.29,43.53,537.57
2006-10-27,11.31,13.2,1.27,42.64,526.59
2006-10-31,11.26,13.15,1.26,42.46,524.4
2006-11-01,11.26,13.15,1.26,42.46,524.4
2006-11-02,11.45,13.37,1.28,43.17,533.18
2006-11-03,11.15,13.01,1.25,42.02,518.91
2006-11-06,11.15,13.01,1.25,42.02,518.91
2006-11-07,11.26,13.15,1.26,42.46,524.4
2006-11-08,11.24,13.12,1.26,42.37,523.3
2006-11-09,11.33,13.23,1.27,42.73,527.69
2006-11-10,11.4,13.31,1.28,42.99,530.98
2006-11-13,11.38,13.28,1.27,42.91,529.89
2006-11-14,11.26,13.15,1.26,42.46,524.4
2006-11-15,11.38,13.28,1.27,42.91,529.89
2006-11-16,11.59,13.53,1.3,43.71,539.76
2006-11-17,12.02,14.03,1.34,45.3,559.51
2006-11-20,11.99,14.0,1.34,45.22,558.41
2006-11-21,12.16,14.19,1.36,45.84,566.09
