date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2018-08-09,-67.84,-106.39,7.57,801.17,798.62
2018-08-10,-67.77,-106.28,7.56,800.41,797.85
2018-08-13,-65.13,-102.14,7.27,769.24,766.78
2018-08-14,-63.8,-100.05,7.12,753.46,751.05
2018-08-15,-65.17,-102.2,7.27,769.62,767.16
2018-08-16,-63.24,-99.18,7.06,746.92,744.53
2018-08-17,-60.74,-95.25,6.78,717.29,715.0
2018-08-20,-61.55,-96.52,6.87,726.91,724.59
2018-08-21,-63.02,-98.82,7.03,744.22,741.85
2018-08-22,-63.5,-99.59,7.09,750.0,747.6
2018-08-23,-65.82,-103.22,7.34,777.32,774.83
2018-08-24,-66.21,-103.83,7.39,781.93,779.44
2018-08-27,-68.03,-106.69,7.59,803.48,800.92
2018-08-28,-70.11,-109.94,7.82,827.97,825.33
2018-08-29,-70.11,-109.94,7.82,827.97,825.33
2018-08-30,-42.45,-109.33,8.62,823.35,820.72
2018-08-31,-42.25,-108.82,8.58,819.49,816.88
2018-09-03,-41.82,-107.69,8.49,811.01,808.42
2018-09-04,-42.33,-109.02,8.6,821.03,818.41
2018-09-05,-41.54,-106.97,8.43,805.62,803.04
2018-09-06,-40.15,-103.39,8.15,778.63,776.15
2018-09-07,-39.06,-100.59,7.93,757.56,755.14
2018-09-10,-39.22,-101.0,7.96,760.65,758.22
2018-09-11,-39.2,-100.95,7.96,760.26,757.83
2018-09-12,-37.15,-95.67,7.54,720.49,718.19
2018-09-13,-39.26,-101.11,7.97,761.42,758.99
2018-09-14,-39.28,-101.16,7.98,761.8,759.37
2018-09-17,-38.54,-99.26,7.83,747.52,745.13
2018-09-18,-38.14,-98.23,7.75,739.8,737.43
2018-09-19,-38.62,-99.47,7.84,749.06,746.67
2018-09-20,-38.76,-99.82,7.87,751.76,749.36
2018-09-21,-38.66,-99.57,7.85,749.83,747.44
2018-09-24,-38.82,-99.98,7.88,752.92,750.52
2018-09-26,-40.41,-104.08,8.21,783.81,781.31
2018-09-27,-41.41,-106.64,8.41,803.12,800.55
2018-09-28,-41.76,-107.54,8.48,809.89,807.3
2018-10-02,-41.68,-107.34,8.46,808.34,805.76
2018-10-03,-40.76,-104.97,8.28,790.55,788.03
2018-10-04,-40.24,-103.64,8.17,780.49,778.0
2018-10-05,-38.81,-99.94,7.88,752.65,750.24
2018-10-08,-35.9,-92.45,7.29,696.24,694.02
2018-10-09,-35.38,-91.12,7.18,686.19,684.0
2018-10-10,-34.08,-87.78,6.92,661.04,658.93
2018-10-11,-30.63,-78.89,6.22,594.13,592.23
2018-10-12,-30.55,-78.69,6.2,592.58,590.69
2018-10-15,-30.07,-77.45,6.11,583.3,581.43
2018-10-16,-29.91,-77.04,6.07,580.2,578.35
2018-10-18,-31.17,-80.28,6.33,604.57,602.64
2018-10-19,-29.91,-77.04,6.07,580.2,578.35
2018-10-22,-30.29,-78.02,6.15,587.55,585.68
2018-10-23,-27.96,-72.01,5.68,542.3,540.56
2018-10-24,-27.84,-71.7,5.65,539.98,538.25
2018-10-25,-26.07,-67.13,5.29,505.55,503.94
2018-10-26,-25.49,-65.64,5.18,494.33,492.75
2018-10-29,-26.88,-69.24,5.46,521.41,519.74
2018-10-30,-25.93,-66.77,5.26,502.84,501.24
2018-10-31,-27.12,-69.85,5.51,526.05,524.37
2018-11-01,-30.67,-78.99,6.23,594.9,593.0
2018-11-02,-32.19,-82.9,6.54,624.3,622.3
2018-11-05,-31.09,-80.07,6.31,603.02,601.1
2018-11-06,-30.74,-79.17,6.24,596.24,594.34
2018-11-07,-30.62,-78.86,6.22,593.92,592.02
2018-11-08,-30.56,-78.71,6.21,592.76,590.86
2018-11-09,-29.54,-76.09,6.0,573.01,571.18
2018-11-12,-28.67,-73.83,5.82,555.98,554.2
2018-11-13,-27.21,-70.07,5.52,527.71,526.03
2018-11-14,-28.31,-72.9,5.75,549.01,547.25
2018-11-15,-30.44,-78.4,6.18,590.43,588.55
2018-11-16,-30.04,-77.37,6.1,582.69,580.83
2018-11-19,-30.04,-77.37,6.1,582.69,580.83
2018-11-20,-28.93,-74.49,5.87,561.01,559.22
2018-11-21,-30.3,-78.04,6.15,587.72,585.85
2018-11-22,-31.1,-80.1,6.32,603.21,601.28
2018-11-23,-30.78,-79.28,6.25,597.02,595.11
2018-11-26,-32.62,-84.01,6.62,632.64,630.62
2018-11-27,-33.76,-86.94,6.85,654.7,652.61
2018-11-28,-35.09,-90.38,7.13,680.64,678.47
2018-11-29,-35.05,-90.28,7.12,679.87,677.7
2018-11-30,-34.41,-88.63,6.99,667.48,665.35
2018-12-03,-37.57,-96.76,7.63,728.65,726.33
2018-12-04,-35.93,-92.54,7.3,696.91,694.68
2018-12-05,-35.08,-90.34,7.12,680.37,678.2
2018-12-06,-33.98,-87.51,6.9,659.03,656.92
2018-12-07,-32.74,-84.31,6.65,634.96,632.94
2018-12-08,-32.9,-84.4,6.61,116.37,632.89
2018-12-09,-32.9,-84.4,6.61,116.37,632.89
2018-12-10,-31.74,-81.74,6.44,615.56,613.59
2018-12-11,-32.04,-82.51,6.51,621.38,619.39
2018-12-12,-32.74,-84.31,6.65,634.96,632.94
2018-12-13,-34.2,-88.08,6.94,663.3,661.18
2018-12-14,-31.12,-80.14,6.32,603.53,601.6
2018-12-17,-32.1,-82.67,6.52,622.54,620.56
2018-12-18,-31.92,-82.2,6.48,619.05,617.07
2018-12-19,-32.06,-82.56,6.51,621.77,619.78
2018-12-20,-31.98,-82.36,6.49,620.21,618.23
2018-12-21,-31.32,-80.66,6.36,607.41,605.47
2018-12-24,-31.28,-80.55,6.35,606.63,604.69
2018-12-27,-32.02,-82.46,6.5,620.99,619.01
2018-12-28,-33.02,-85.04,6.7,640.4,638.35
2018-12-31,-33.66,-86.69,6.83,652.82,650.73
2019-01-02,-33.26,-85.65,6.75,645.05,642.99
2019-01-03,-32.3,-83.18,6.56,626.42,624.42
2019-01-04,-31.02,-79.88,6.3,601.58,599.66
2019-01-07,-31.12,-80.14,6.32,603.53,601.6
2019-01-08,-31.65,-81.52,6.43,613.91,611.95
2019-01-09,-33.5,-86.27,6.8,649.66,647.59
2019-01-10,-33.9,-87.3,6.88,657.43,655.33
2019-01-11,-33.66,-86.68,6.83,652.77,650.69
2019-01-14,-33.54,-86.37,6.81,650.44,648.36
2019-01-15,-33.66,-86.68,6.83,652.77,650.69
2019-01-16,-34.06,-87.71,6.92,660.54,658.43
2019-01-17,-33.28,-85.7,6.76,645.39,643.33
2019-01-18,-34.06,-87.71,6.92,660.54,658.43
2019-01-21,-33.86,-87.19,6.87,656.66,654.56
2019-01-22,-34.08,-87.76,6.92,660.93,658.82
2019-01-23,-32.71,-84.25,6.64,634.51,632.48
2019-01-24,-32.03,-82.5,6.5,621.3,619.31
2019-01-25,-30.49,-78.53,6.19,591.38,589.49
2019-01-28,-30.27,-77.96,6.15,587.1,585.23
2019-01-29,-30.77,-79.25,6.25,596.82,594.91
2019-01-30,-30.23,-77.86,6.14,586.33,584.46
2019-01-31,-30.79,-79.3,6.25,597.21,595.3
2019-02-01,-31.27,-80.54,6.35,606.53,604.6
2019-02-04,-31.65,-81.51,6.43,613.85,611.89
2019-02-08,-30.47,-78.47,6.19,590.92,589.03
2019-02-11,-31.09,-80.07,6.31,602.97,601.04
