date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2020-12-24,29.68,25.43,4.06,13.83,631.66
2020-12-28,31.52,27.0,4.31,14.69,670.83
2020-12-29,31.64,27.1,4.33,14.74,673.28
2020-12-30,31.75,27.2,4.34,14.8,675.73
2020-12-31,32.33,27.69,4.42,15.07,687.97
2021-01-04,36.64,31.39,5.01,17.08,779.78
2021-01-05,36.7,31.44,5.02,17.1,781.0
2021-01-06,36.59,31.34,5.0,17.05,778.55
2021-01-07,35.49,30.4,4.85,16.54,755.29
2021-01-08,36.87,31.59,5.04,17.18,784.67
2021-01-11,38.37,32.87,5.25,17.88,816.5
2021-01-12,39.23,33.61,5.36,18.28,834.86
2021-01-13,38.89,33.31,5.32,18.12,827.52
2021-01-14,38.03,32.57,5.2,17.72,809.16
2021-01-15,36.36,31.14,4.97,16.94,773.66
2021-01-18,37.97,32.52,5.19,17.69,807.93
2021-01-19,37.57,32.18,5.14,17.51,799.36
2021-01-20,37.97,32.52,5.19,17.69,807.93
2021-01-21,40.5,34.69,5.54,18.87,861.79
2021-01-22,40.84,34.99,5.58,19.03,869.14
2021-01-25,42.63,36.51,5.83,19.86,907.09
2021-01-26,40.56,34.74,5.54,18.9,863.02
2021-01-27,40.1,34.34,5.48,18.69,853.23
2021-01-28,38.77,33.21,5.3,18.07,825.07
2021-01-29,36.93,31.63,5.05,17.21,785.9
2021-02-01,38.2,32.72,5.22,17.8,812.83
2021-02-02,39.41,33.75,5.39,18.36,838.54
2021-02-03,39.69,34.0,5.43,18.5,844.66
2021-02-04,40.5,34.69,5.54,18.87,861.79
2021-02-05,40.61,34.79,5.55,18.93,864.24
2021-02-08,42.17,36.12,5.76,19.65,897.29
2021-02-09,41.02,35.13,5.61,19.11,872.81
2021-02-10,41.02,35.13,5.61,19.11,872.81
2021-02-11,41.59,35.63,5.69,19.38,885.05
2021-02-16,42.86,36.71,5.86,19.97,911.98
2021-02-17,43.15,36.96,5.9,20.11,918.1
2021-02-18,41.25,35.33,5.64,19.22,877.71
2021-02-19,40.38,34.59,5.52,18.82,859.35
2021-02-22,37.33,31.98,5.1,17.4,794.47
2021-02-23,37.97,32.52,5.19,17.69,807.93
2021-02-24,36.47,31.24,4.99,17.0,776.1
2021-02-25,36.36,31.14,4.97,16.94,773.66
2021-02-26,33.94,29.07,4.64,15.82,722.24
2021-03-01,37.16,31.83,5.08,17.31,849.47
2021-03-02,37.39,32.03,5.11,17.43,854.88
2021-03-03,37.04,31.72,5.06,17.26,846.77
2021-03-04,35.2,30.15,4.81,16.41,804.84
2021-03-05,35.26,30.2,4.82,16.43,806.19
2021-03-08,34.49,29.55,4.72,16.07,788.6
2021-03-09,34.2,29.29,4.67,15.94,781.84
2021-03-10,35.5,30.41,4.85,16.54,811.6
