date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2018-12-20,13.31,17.97,2.69,11.57,70.66
2018-12-21,13.31,17.97,2.69,11.57,70.66
2018-12-24,13.17,17.79,2.66,11.46,69.95
2018-12-27,13.41,18.11,2.71,11.67,71.23
2018-12-28,13.6,18.37,2.75,11.83,72.23
2018-12-31,13.68,18.48,2.76,11.9,72.66
2019-01-02,13.71,18.51,2.77,11.92,72.81
2019-01-03,13.74,18.55,2.77,11.95,72.95
2019-01-04,13.76,18.58,2.78,11.97,73.09
2019-01-07,13.76,18.58,2.78,11.97,73.09
2019-01-08,14.03,18.95,2.83,12.2,74.52
2019-01-09,14.03,18.95,2.83,12.2,74.52
2019-01-10,14.11,19.06,2.85,12.27,74.95
2019-01-11,14.06,18.98,2.84,12.23,74.66
2019-01-14,14.03,18.95,2.83,12.2,74.52
2019-01-15,13.43,18.13,2.71,11.68,71.32
2019-01-16,13.44,18.15,2.71,11.69,71.39
2019-01-17,13.4,18.1,2.71,11.66,71.17
2019-01-18,13.35,18.02,2.7,11.61,70.88
2019-01-21,13.35,18.02,2.7,11.61,70.88
2019-01-22,13.35,18.02,2.7,11.61,70.88
2019-01-23,13.35,18.02,2.7,11.61,70.88
2019-01-24,13.29,17.95,2.68,11.56,70.59
2019-01-25,12.68,17.12,2.56,11.03,67.33
2019-01-28,12.19,16.46,2.46,10.6,64.73
2019-01-29,12.2,16.48,2.46,10.61,64.8
2019-01-30,12.15,16.4,2.45,10.57,64.51
2019-01-31,11.6,15.67,2.34,10.09,61.62
2019-02-01,11.72,15.83,2.37,10.2,62.27
2019-02-04,11.72,15.83,2.37,10.2,62.27
2019-02-08,11.7,15.8,2.36,10.17,62.13
2019-02-11,11.7,15.8,2.36,10.17,62.13
2019-02-12,14.03,18.94,2.83,12.2,74.49
2019-02-13,13.43,18.13,2.71,11.68,71.31
2019-02-14,13.09,17.67,2.64,11.38,69.5
2019-02-15,13.07,17.65,2.64,11.37,69.43
2019-02-18,11.75,15.87,2.37,10.22,62.42
2019-02-19,11.68,15.78,2.36,10.16,62.05
2019-02-20,11.45,15.47,2.31,9.96,60.82
2019-02-21,11.32,15.28,2.29,9.84,60.1
2019-02-22,11.51,15.54,2.32,10.01,61.11
2019-02-25,12.27,16.57,2.48,10.67,65.16
2019-02-26,13.3,17.97,2.69,11.57,70.66
2019-02-27,13.62,18.39,2.75,11.84,72.32
2019-02-28,13.35,18.02,2.7,11.61,70.88
2019-03-01,13.07,17.65,2.64,11.37,69.43
2019-03-04,13.55,18.3,2.74,11.79,71.96
2019-03-05,13.35,18.02,2.7,11.61,70.88
2019-03-06,13.35,18.02,2.7,11.61,70.88
2019-03-07,13.35,18.02,2.7,11.61,70.88
2019-03-08,13.35,18.02,2.7,11.61,70.88
2019-03-11,13.35,18.02,2.7,11.61,70.88
2019-03-12,13.22,17.86,2.67,11.5,70.23
2019-03-13,12.95,17.49,2.62,11.27,68.79
2019-03-14,13.26,17.91,2.68,11.54,70.45
2019-03-15,13.43,18.13,2.71,11.68,71.32
2019-03-18,30.58,30.58,1.93,11.67,71.25
2019-03-19,30.61,30.61,1.93,11.68,71.32
2019-03-20,29.46,29.46,1.86,11.24,68.64
2019-03-21,29.8,29.8,1.88,11.37,69.44
2019-03-22,29.49,29.49,1.86,11.25,68.71
2019-03-25,28.13,28.13,1.77,10.73,65.53
2019-03-26,28.35,28.35,1.79,10.81,66.04
2019-03-27,28.25,28.25,1.78,10.78,65.82
2019-03-28,28.72,28.72,1.81,10.96,66.91
2019-03-29,29.18,29.18,1.84,11.13,67.99
2019-04-01,29.49,29.49,1.86,11.25,68.71
2019-04-02,28.28,28.28,1.78,10.79,65.89
2019-04-03,28.66,28.66,1.81,10.93,66.77
2019-04-04,28.72,28.72,1.81,10.96,66.91
2019-04-08,28.72,28.72,1.81,10.96,66.91
2019-04-09,28.66,28.66,1.81,10.93,66.77
2019-04-10,28.97,28.97,1.83,11.05,67.49
2019-04-11,29.19,29.19,1.84,11.14,68.0
2019-04-12,28.72,28.72,1.81,10.96,66.91
2019-04-15,28.41,28.41,1.79,10.84,66.19
2019-04-16,28.04,28.04,1.77,10.7,65.32
2019-04-17,28.1,28.1,1.77,10.72,65.47
2019-04-18,28.13,28.13,1.77,10.73,65.54
2019-04-23,28.1,28.1,1.77,9.83,65.47
2019-04-24,27.98,27.98,1.77,9.79,65.18
2019-04-25,28.1,28.1,1.77,9.83,65.47
2019-04-26,27.7,27.7,1.75,9.69,64.53
2019-04-29,26.49,26.49,1.67,9.27,61.71
2019-04-30,26.14,26.14,1.65,9.15,60.91
2019-05-02,26.14,26.14,1.65,9.15,60.91
2019-05-03,27.63,27.63,1.74,9.67,64.38
2019-05-06,27.95,27.95,1.76,9.78,65.11
2019-05-07,27.88,27.88,1.76,9.76,64.96
2019-05-08,27.88,27.88,1.76,9.76,64.96
2019-05-09,27.88,27.88,1.76,9.76,64.96
2019-05-10,27.82,27.82,1.76,9.74,64.82
2019-05-14,27.48,27.48,1.73,9.62,64.02
2019-05-15,27.17,27.17,1.71,9.51,63.3
2019-05-16,27.48,27.48,1.73,9.62,64.02
2019-05-17,26.52,26.52,1.67,9.28,61.78
2019-05-20,25.99,25.99,1.64,9.09,60.55
2019-05-21,25.77,25.77,1.63,9.02,60.04
2019-05-22,24.28,24.28,1.53,8.5,56.57
2019-05-23,23.94,23.94,1.51,8.38,55.77
2019-05-24,23.13,23.13,1.46,8.1,53.89
2019-05-27,23.29,23.29,1.47,8.15,54.26
2019-05-28,23.91,23.91,1.51,8.37,55.7
2019-05-29,24.81,24.81,1.57,8.68,57.8
2019-05-30,24.16,24.16,1.52,8.45,56.28
2019-05-31,24.16,24.16,1.52,8.45,56.28
2019-06-03,24.62,24.62,1.55,8.62,57.37
2019-06-04,25.74,25.74,1.62,9.01,59.97
2019-06-05,26.83,26.83,1.69,9.39,62.5
2019-06-06,26.8,26.8,1.69,9.38,62.43
