date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2021-12-14,54.55,46.73,14.12,15.22,90.68
2021-12-15,51.92,44.48,13.44,14.48,86.31
2021-12-16,58.18,49.84,15.06,16.23,96.71
2021-12-17,54.99,47.1,14.23,15.34,91.41
2021-12-20,49.99,42.82,12.94,13.94,83.09
2021-12-21,51.92,44.48,13.44,14.48,86.31
2021-12-22,52.3,44.8,13.54,14.59,86.94
2021-12-23,52.11,44.64,13.49,14.54,86.62
2021-12-24,50.36,43.14,13.04,14.05,83.71
2021-12-28,50.61,43.35,13.1,14.12,84.13
2021-12-29,49.74,42.6,12.87,13.87,82.67
2021-12-30,49.67,42.55,12.86,13.86,82.57
2021-12-31,49.86,42.71,12.91,13.91,82.88
2022-01-03,49.42,42.33,12.79,13.79,82.15
2022-01-04,49.42,42.33,12.79,13.79,82.15
2022-01-05,49.42,42.33,12.79,13.79,82.15
2022-01-06,41.23,35.31,10.67,11.5,68.53
2022-01-07,40.16,34.4,10.4,11.2,66.76
2022-01-10,38.11,32.65,9.87,10.63,63.36
2022-01-11,38.56,33.03,9.98,10.75,64.09
2022-01-12,41.41,35.47,10.72,11.55,68.84
2022-01-13,42.3,36.23,10.95,11.8,70.31
2022-01-14,39.64,33.95,10.26,11.06,65.89
2022-01-17,39.95,34.22,10.34,11.14,66.41
2022-01-18,40.02,34.28,10.36,11.16,66.52
2022-01-19,38.37,32.86,9.93,10.7,63.78
2022-01-20,37.92,32.48,9.82,10.58,63.04
2022-01-21,36.34,31.13,9.41,10.14,60.4
2022-01-24,35.83,30.69,9.27,9.99,59.56
2022-01-25,35.32,30.26,9.14,9.85,58.72
2022-01-26,34.75,29.77,9.0,9.69,57.77
2022-01-27,33.29,28.52,8.62,9.29,55.34
2022-01-28,32.66,27.97,8.45,9.11,54.29
2022-01-31,34.18,29.28,8.85,9.53,56.82
2022-02-04,34.88,29.88,9.03,9.73,57.98
2022-02-07,34.37,29.44,8.9,9.59,57.14
2022-02-08,34.56,29.6,8.95,9.64,57.45
2022-02-09,36.59,31.34,9.47,10.21,60.83
2022-02-10,36.08,30.91,9.34,10.07,59.98
2022-02-11,36.97,31.67,9.57,10.31,61.46
2022-02-14,35.07,30.04,9.08,9.78,58.3
2022-02-15,35.39,30.31,9.16,9.87,58.82
2022-02-16,34.88,29.88,9.03,9.73,57.98
2022-02-17,34.82,29.82,9.01,9.71,57.87
2022-02-18,33.61,28.79,8.7,9.38,55.87
2022-02-21,36.53,31.29,9.46,10.19,60.72
2022-02-22,35.96,30.8,9.31,10.03,59.77
2022-02-23,40.14,34.38,10.39,11.2,66.73
2022-02-24,39.38,33.73,10.19,10.98,65.46
2022-02-25,39.0,33.41,10.1,10.88,64.83
2022-02-28,39.64,33.95,10.26,11.06,65.89
2022-03-01,39.89,34.17,10.33,11.13,66.31
2022-03-02,40.14,34.38,10.39,11.2,66.73
2022-03-03,39.89,34.17,10.33,11.13,66.31
2022-03-04,39.19,33.57,10.14,10.93,65.15
2022-03-07,39.32,33.68,10.18,10.97,65.36
2022-03-08,38.49,32.97,9.96,10.74,63.99
