date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2018-12-27,-30.39,-46.45,15.49,-42.94,37.26
2018-12-28,-30.84,-47.14,15.72,-43.58,37.82
2018-12-31,-31.36,-47.94,15.98,-44.31,38.46
2019-01-02,-30.65,-46.85,15.62,-43.31,37.58
2019-01-03,-30.13,-46.06,15.36,-42.57,36.95
2019-01-04,-30.19,-46.15,15.39,-42.67,37.03
2019-01-07,-28.7,-43.88,14.63,-40.56,35.2
2019-01-08,-28.7,-43.88,14.63,-40.56,35.2
2019-01-09,-30.74,-46.99,15.67,-43.44,42.03
2019-01-10,-30.34,-46.38,15.46,-42.87,41.48
2019-01-11,-29.53,-45.15,15.06,-41.74,40.39
2019-01-14,-28.73,-43.92,14.65,-40.6,39.29
2019-01-15,-29.87,-45.66,15.23,-42.21,40.84
2019-01-16,-30.94,-47.29,15.77,-43.72,42.31
2019-01-17,-30.87,-47.19,15.74,-43.63,42.21
2019-01-18,-30.54,-46.68,15.57,-43.15,41.76
2019-01-21,-30.14,-46.07,15.36,-42.59,41.21
2019-01-22,-28.6,-43.72,14.58,-40.42,39.11
2019-01-23,-29.4,-44.95,14.99,-41.55,40.2
2019-01-24,-29.47,-45.05,15.02,-41.64,40.3
2019-01-25,-28.87,-44.13,14.71,-40.79,39.47
2019-01-28,-28.06,-42.9,14.31,-39.66,38.38
2019-01-29,-28.06,-42.9,14.31,-39.66,38.38
2019-01-30,-28.2,-43.11,14.37,-39.85,38.56
2019-01-31,-28.2,-43.11,14.37,-39.85,38.56
2019-02-01,-28.73,-43.92,14.65,-40.6,39.29
2019-02-04,-29.2,-44.64,14.89,-41.27,39.93
2019-02-08,-28.13,-43.0,14.34,-39.75,38.47
2019-02-11,-29.07,-44.43,14.82,-41.08,39.75
2019-02-12,-29.33,-44.84,14.95,-41.45,40.11
2019-02-13,-28.47,-43.52,14.51,-40.23,38.93
2019-02-14,-28.4,-43.41,14.48,-40.13,38.83
2019-02-15,-28.47,-43.52,14.51,-40.23,38.93
2019-02-18,-28.73,-43.92,14.65,-40.6,39.29
2019-02-19,-29.07,-44.43,14.82,-41.08,39.75
2019-02-20,-29.0,-44.33,14.78,-40.98,39.66
2019-02-21,-28.2,-43.11,14.37,-39.85,38.56
2019-02-22,-28.73,-43.92,14.65,-40.6,39.29
2019-02-25,-29.2,-44.64,14.89,-41.27,39.93
2019-02-26,-29.0,-44.33,14.78,-40.98,39.66
2019-02-27,-29.2,-44.64,14.89,-41.27,39.93
2019-02-28,-29.4,-44.95,14.99,-41.55,40.2
2019-03-01,-29.2,-44.64,14.89,-41.27,39.93
2019-03-04,-32.14,-49.13,16.38,-45.42,43.95
2019-03-05,-34.21,-52.3,17.44,-48.35,46.78
2019-03-06,-36.28,-55.47,18.5,-51.27,49.62
2019-03-07,-33.41,-51.07,17.03,-47.21,45.69
2019-03-08,-34.08,-52.1,17.37,-48.16,46.6
2019-03-11,-34.95,-53.42,17.81,-49.39,47.79
2019-03-12,-35.68,-54.55,18.19,-50.42,48.79
2019-03-13,-36.55,-55.88,18.63,-51.65,49.98
2019-03-14,-38.36,-58.63,19.55,-54.2,52.45
2019-03-15,-39.76,-60.78,20.27,-56.18,54.37
2019-03-18,-41.09,-62.82,20.95,-58.07,56.19
2019-03-19,-42.03,-64.25,21.42,-59.4,57.47
2019-03-20,-41.43,-63.33,21.12,-58.55,56.65
2019-03-21,-40.69,-62.21,20.74,-57.51,55.65
2019-03-22,-41.43,-63.33,21.12,-58.55,56.65
2019-03-25,-42.16,-64.46,21.49,-59.58,57.66
2019-03-26,-40.56,-62.0,20.68,-57.32,55.46
2019-03-27,-39.69,-60.68,20.23,-56.09,54.28
2019-03-28,-39.56,-60.47,20.16,-55.9,54.09
2019-03-29,-28.68,-28.68,6.18,-56.47,54.64
2019-04-01,-29.2,-29.2,6.3,-57.51,55.65
2019-04-02,-30.21,-30.21,6.51,-59.49,57.57
2019-04-03,-29.68,-29.68,6.4,-58.45,56.56
2019-04-04,-29.54,-29.54,6.37,-58.17,56.29
2019-04-08,-29.49,-29.49,6.36,-58.07,56.19
2019-04-09,-30.45,-30.45,6.57,-59.96,58.02
2019-04-10,-30.59,-30.59,6.6,-60.25,58.3
2019-04-11,-29.78,-29.78,6.42,-58.64,56.74
2019-04-12,-30.69,-30.69,6.62,-60.43,58.48
2019-04-15,-30.4,-30.4,6.56,-59.87,57.93
2019-04-16,-31.65,-31.65,6.82,-62.32,60.31
2019-04-17,-32.61,-32.61,7.03,-64.21,62.13
2019-04-18,-31.26,-31.26,6.74,-61.57,59.58
2019-04-23,-32.13,-32.13,6.93,-63.27,61.22
2019-04-24,-31.02,-31.02,6.69,-43.52,59.12
2019-04-25,-29.73,-29.73,6.41,-41.7,56.65
2019-04-26,-29.73,-29.73,6.41,-41.7,56.65
2019-04-29,-29.92,-29.92,6.45,-41.97,57.02
2019-04-30,-21.69,-30.69,6.45,-43.05,58.48
2019-05-02,-21.66,-30.64,6.44,-42.98,58.39
2019-05-03,-21.8,-30.83,6.48,-43.25,58.75
2019-05-06,-20.03,-28.34,5.96,-39.75,54.0
2019-05-07,-20.2,-28.58,6.01,-40.09,54.46
2019-05-08,-20.41,-28.87,6.07,-40.49,55.01
2019-05-09,-19.86,-28.1,5.91,-39.41,53.54
2019-05-10,-20.61,-29.15,6.13,-40.89,55.55
2019-05-14,-20.37,-28.82,6.06,-40.42,54.92
2019-05-15,-20.51,-29.01,6.1,-40.69,55.28
2019-05-16,-21.12,-29.87,6.28,-41.9,56.93
2019-05-17,-21.05,-29.78,6.26,-41.77,56.74
2019-05-20,-21.15,-29.92,6.29,-41.97,57.02
2019-05-21,-20.98,-29.68,6.24,-41.63,56.56
2019-05-22,-20.64,-29.2,6.14,-40.96,55.65
2019-05-23,-20.51,-29.01,6.1,-40.69,55.28
2019-05-24,-20.51,-29.01,6.1,-40.69,55.28
2019-05-27,-19.93,-28.2,5.93,-39.55,53.73
2019-05-28,-19.86,-28.1,5.91,-39.41,53.54
2019-05-29,-19.8,-28.0,5.89,-39.28,53.36
2019-05-30,-19.42,-27.48,5.78,-38.54,52.36
2019-05-31,-19.46,-27.52,5.79,-38.61,52.45
2019-06-03,-19.19,-27.14,5.71,-38.07,51.72
2019-06-04,-19.32,-27.33,5.75,-38.34,52.08
2019-06-05,-18.98,-26.85,5.65,-37.67,51.17
2019-06-06,-18.85,-26.66,5.61,-37.4,50.8
2019-06-10,-18.68,-26.42,5.56,-37.06,50.35
2019-06-11,-18.68,-26.42,5.56,-37.06,50.35
2019-06-12,-19.19,-27.14,5.71,-38.07,51.72
2019-06-13,-19.49,-27.57,5.8,-38.67,52.54
2019-06-14,-19.53,-27.62,5.81,-38.74,52.63
2019-06-17,-19.66,-27.81,5.85,-39.01,53.0
2019-06-18,-19.8,-28.0,5.89,-39.28,53.36
2019-06-19,-22.37,-31.65,6.65,-44.39,60.31
2019-06-20,-20.95,-29.63,6.23,-41.57,56.47
2019-06-21,-20.31,-28.72,6.04,-40.29,54.73
2019-06-24,-19.56,-27.67,5.82,-38.81,52.72
2019-06-25,-19.9,-28.15,5.92,-39.48,53.64
2019-06-26,-20.17,-28.53,6.0,-40.02,54.37
2019-06-27,-20.17,-28.53,6.0,-40.02,54.37
2019-06-28,-20.27,-28.68,6.03,-40.22,54.64
2019-07-02,-20.78,-29.39,6.18,-41.23,56.01
2019-07-03,-20.41,-28.87,6.07,-40.49,55.01
2019-07-04,-20.44,-28.92,6.08,-40.56,55.1
2019-07-05,-20.44,-28.92,6.08,-40.56,55.1
2019-07-08,-20.44,-28.92,6.08,-40.56,55.1
2019-07-09,-20.71,-29.3,6.16,-41.1,55.83
2019-07-10,-21.02,-29.73,6.25,-41.7,56.65
2019-07-11,-21.29,-30.11,6.33,-42.24,57.38
2019-07-12,-21.42,-30.31,6.37,-42.51,57.75
