date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2008-08-25,34.4,51.21,6.46,21.82,50.86
2008-08-26,34.4,51.21,6.46,21.82,50.86
2008-08-27,33.21,49.44,6.24,21.06,49.1
2008-08-28,36.42,54.22,6.84,23.1,53.86
2008-08-29,37.25,55.46,7.0,23.63,55.09
2008-09-01,37.25,55.46,7.0,23.63,55.09
2008-09-02,38.09,56.7,7.15,24.16,56.32
2008-09-03,37.01,55.11,6.95,23.48,54.74
2008-09-04,36.3,54.04,6.82,23.03,53.68
2008-09-05,35.23,52.45,6.62,22.35,52.1
2008-09-08,34.63,51.56,6.51,21.97,51.22
2008-09-09,36.06,53.69,6.77,22.88,53.33
2008-09-10,34.04,50.68,6.39,21.59,50.34
2008-09-11,33.92,50.5,6.37,21.52,50.16
2008-09-12,35.11,52.27,6.6,22.27,51.92
2008-09-16,33.89,50.46,6.37,21.5,56.47
2008-09-17,32.68,48.65,6.14,20.73,54.45
2008-09-18,32.44,48.29,6.09,20.57,54.04
2008-09-19,28.0,53.35,6.73,22.73,59.71
2008-09-22,27.9,53.17,6.71,22.65,59.51
2008-09-23,26.1,49.74,6.28,21.19,55.66
2008-09-24,27.24,51.91,6.55,22.12,58.09
2008-09-25,27.05,51.54,5.8,21.96,57.68
2008-09-26,27.81,52.99,5.96,22.58,59.3
2008-09-29,28.47,54.26,6.1,23.12,60.72
2008-09-30,28.0,53.35,6.0,22.73,59.71
2008-10-02,29.42,56.07,6.31,23.89,62.74
2008-10-03,29.42,56.07,6.31,23.89,62.74
2008-10-06,28.38,54.08,6.08,23.04,60.52
2008-10-08,28.0,53.35,6.0,22.73,59.71
2008-10-09,28.85,54.98,6.18,23.43,61.53
2008-10-10,26.95,51.36,5.78,21.88,57.48
2008-10-13,28.57,54.44,6.12,23.19,60.92
2008-10-14,28.47,54.26,6.1,23.12,60.72
2008-10-15,28.47,54.26,6.1,23.12,60.72
2008-10-16,28.38,54.08,6.08,23.04,60.52
2008-10-17,28.38,54.08,6.08,23.04,60.52
2008-10-20,28.57,54.44,6.12,23.19,60.92
2008-10-21,28.19,53.71,6.04,22.89,60.11
2008-10-22,26.19,49.92,5.62,21.27,55.86
2008-10-23,25.43,48.47,5.45,20.65,54.24
2008-10-24,24.2,46.12,5.19,19.65,51.61
