date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2021-06-21,-13.17,-13.17,-8.36,-47.48,166.52
2021-06-22,-12.81,-12.81,-8.13,-46.19,161.98
2021-06-23,-14.27,-14.27,-9.06,-51.45,180.42
2021-06-24,-14.58,-14.58,-9.26,-52.58,184.39
2021-06-25,-14.27,-14.27,-9.06,-51.45,180.42
2021-06-28,-14.23,-14.23,-9.03,-51.29,179.85
2021-06-29,-14.07,-14.07,-8.93,-50.72,177.86
2021-06-30,-13.66,-13.66,-8.67,-49.26,172.76
2021-07-02,-13.62,-13.62,-8.65,-49.1,172.19
2021-07-05,-13.66,-13.66,-8.67,-49.26,172.76
2021-07-06,-13.6,-13.6,-8.63,-49.02,171.91
2021-07-07,-13.73,-13.73,-8.72,-49.51,173.61
2021-07-08,-14.45,-14.45,-9.17,-52.09,182.69
2021-07-09,-14.7,-14.7,-9.33,-52.98,185.81
2021-07-12,-15.19,-15.19,-9.64,-54.76,192.05
2021-07-13,-14.36,-14.36,-9.12,-51.77,181.55
2021-07-14,-14.49,-14.49,-9.2,-52.26,183.25
2021-07-15,-14.29,-14.29,-9.07,-51.53,180.7
2021-07-16,-13.6,-13.6,-8.63,-49.02,171.91
2021-07-19,-13.93,-13.93,-8.85,-50.23,176.16
2021-07-20,-13.44,-13.44,-8.53,-48.45,169.92
2021-07-21,-13.64,-13.64,-8.66,-49.18,172.47
2021-07-22,-13.91,-13.91,-8.83,-50.15,175.88
2021-07-23,-13.53,-13.53,-8.59,-48.78,171.06
2021-07-26,-12.12,-12.12,-7.69,-43.68,153.18
2021-07-27,-10.82,-10.82,-6.87,-38.99,136.73
2021-07-28,-10.32,-10.32,-6.55,-37.21,130.49
2021-07-29,-12.57,-12.57,-7.98,-45.3,158.86
2021-07-30,-12.95,-12.95,-8.22,-46.67,163.68
2021-08-02,-13.42,-13.42,-8.52,-48.37,169.64
2021-08-03,-13.4,-13.4,-8.5,-48.29,169.35
2021-08-04,-13.24,-13.24,-8.4,-47.73,167.37
2021-08-05,-12.57,-12.57,-7.98,-45.3,158.86
2021-08-06,-11.96,-11.96,-7.59,-43.12,151.2
2021-08-09,-13.08,-13.08,-8.3,-47.16,165.38
2021-08-10,-14.63,-14.63,-9.29,-52.74,184.96
2021-08-11,-14.79,-14.79,-9.39,-53.31,186.94
2021-08-12,-14.09,-14.09,-8.95,-50.8,178.15
2021-08-13,-15.75,-15.75,-10.0,-56.79,199.14
2021-08-16,-15.64,-15.64,-9.93,-56.38,197.72
2021-08-17,-15.5,-15.5,-9.84,-55.9,196.02
2021-08-18,-14.52,-14.52,-9.22,-52.34,183.54
2021-08-19,-14.41,-14.41,-9.14,-51.93,182.12
2021-08-20,-13.73,-13.73,-8.72,-49.51,173.61
2021-08-23,-2.94,-13.73,4.27,-49.51,173.61
2021-08-24,-3.03,-14.16,4.4,-51.04,179.0
2021-08-25,-3.38,-15.8,4.91,-56.95,199.71
2021-08-26,-3.55,-16.6,5.16,-59.86,209.92
2021-08-27,-3.51,-16.4,5.1,-59.13,207.37
2021-08-30,-3.75,-17.55,5.46,-63.26,221.83
2021-08-31,-3.82,-17.84,5.55,-64.31,225.52
2021-09-01,-3.78,-17.66,5.49,-63.66,223.25
2021-09-02,-4.16,-19.43,6.04,-70.05,245.66
2021-09-03,-4.67,-21.81,6.78,-78.63,275.73
2021-09-06,-4.15,-19.39,6.03,-69.89,245.09
2021-09-07,-4.15,-19.41,6.04,-69.97,245.38
2021-09-08,-4.28,-20.01,6.23,-72.16,253.04
2021-09-09,-4.27,-19.97,6.21,-71.99,252.47
2021-09-10,-4.13,-19.3,6.0,-69.57,243.96
2021-09-13,-3.9,-18.22,5.67,-65.68,230.34
2021-09-14,-4.29,-20.06,6.24,-72.32,253.6
2021-09-15,-4.07,-19.03,5.92,-68.6,240.55
2021-09-16,-4.16,-19.45,6.05,-70.13,245.94
2021-09-17,-4.51,-21.09,6.56,-76.04,266.65
