date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2005-12-20,17.1,18.43,1.77,14.69,45.43
2005-12-21,16.97,18.29,1.76,14.58,45.1
2005-12-22,17.22,18.56,1.79,14.8,45.77
2005-12-23,18.36,19.79,1.9,15.78,48.8
2005-12-28,17.98,19.38,1.87,15.45,47.79
2005-12-29,18.24,19.65,1.89,15.67,48.46
2005-12-30,17.98,19.38,1.87,15.45,47.79
2006-01-03,18.11,19.52,1.88,15.56,48.12
2006-01-04,19.25,20.75,2.0,16.54,51.15
2006-01-05,19.38,20.88,2.01,16.65,51.49
2006-01-06,19.88,21.43,2.06,17.08,52.84
2006-01-09,20.39,21.97,2.11,17.52,54.18
2006-01-10,20.26,21.84,2.1,17.41,53.85
2006-01-11,20.01,21.57,2.08,17.19,53.17
2006-01-12,20.01,21.57,2.08,17.19,53.17
2006-01-13,20.14,21.7,2.09,17.3,53.51
2006-01-16,20.26,21.84,2.1,17.41,53.85
2006-01-17,20.14,21.7,2.09,17.3,53.51
2006-01-18,20.26,21.84,2.1,17.41,53.85
2006-01-19,20.39,21.97,2.11,17.52,54.18
2006-01-20,21.02,22.66,2.18,18.06,55.87
2006-01-23,21.02,22.66,2.18,18.06,55.87
2006-01-24,21.28,22.93,2.21,18.28,56.54
2006-01-25,21.28,22.93,2.21,18.28,56.54
2006-01-26,21.28,22.93,2.21,18.28,56.54
2006-01-27,22.16,23.89,2.3,19.04,58.89
2006-02-01,22.67,24.43,2.35,19.48,60.24
2006-02-02,21.4,23.07,2.22,18.39,56.87
2006-02-03,21.15,22.79,2.19,18.17,56.2
2006-02-06,21.78,23.48,2.26,18.72,57.88
2006-02-07,21.02,22.66,2.18,18.06,55.87
2006-02-08,20.52,22.11,2.13,17.63,54.52
2006-02-09,20.77,22.38,2.15,17.85,55.19
2006-02-10,21.4,23.07,2.22,18.39,56.87
2006-02-13,21.91,23.61,2.27,18.83,58.22
2006-02-14,21.91,23.61,2.27,18.83,58.22
2006-02-15,21.53,23.2,2.23,18.5,57.21
2006-02-16,21.91,23.61,2.27,18.83,58.22
2006-02-17,22.16,23.89,2.3,19.04,58.89
2006-02-20,22.41,24.16,2.33,19.26,59.57
2006-02-21,22.54,24.3,2.34,19.37,59.9
2006-02-22,22.79,24.57,2.36,19.59,60.58
2006-02-23,23.3,25.11,2.42,20.02,61.92
2006-02-24,23.81,25.66,2.47,20.46,63.27
2006-02-27,22.67,24.43,2.35,19.48,60.24
2006-02-28,22.41,24.16,2.33,19.26,59.57
2006-03-01,22.41,24.16,2.33,19.26,59.57
2006-03-02,22.67,24.43,2.35,19.48,60.24
2006-03-03,22.41,24.16,2.33,19.26,59.57
