date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2005-12-20,17.33,14.43,0.77,24.01,3.29
2005-12-21,17.33,14.43,0.77,24.01,3.29
2005-12-22,18.48,15.39,0.82,25.6,3.51
2005-12-23,19.37,16.13,0.86,26.84,3.68
2005-12-28,20.13,16.77,0.89,27.9,3.82
2005-12-29,20.13,16.77,0.89,27.9,3.82
2005-12-30,19.88,16.56,0.88,27.54,3.78
2006-01-03,20.52,17.09,0.91,28.42,3.9
2006-01-04,21.03,17.51,0.93,29.13,3.99
2006-01-05,20.26,16.88,0.9,28.07,3.85
2006-01-06,20.01,16.66,0.88,27.72,3.8
2006-01-09,19.12,15.92,0.85,26.48,3.63
2006-01-10,18.35,15.28,0.81,25.42,3.48
2006-01-11,17.84,14.86,0.79,24.72,3.39
2006-01-12,19.24,16.03,0.85,26.66,3.65
2006-01-13,19.75,16.45,0.87,27.37,3.75
2006-01-16,19.37,16.13,0.86,26.84,3.68
2006-01-17,18.48,15.39,0.82,25.6,3.51
2006-01-18,19.24,16.03,0.85,26.66,3.65
2006-01-19,20.77,17.3,0.92,28.78,3.94
2006-01-20,21.28,17.72,0.94,29.48,4.04
2006-01-23,22.56,18.79,1.0,31.25,4.28
2006-01-24,24.72,20.59,1.09,34.25,4.69
2006-01-25,24.21,20.17,1.07,33.54,4.6
2006-01-26,24.34,20.27,1.08,33.72,4.62
2006-01-27,24.47,20.38,1.08,33.9,4.65
2006-02-01,24.72,20.59,1.09,34.25,4.69
2006-02-02,24.34,20.27,1.08,33.72,4.62
2006-02-03,25.49,21.23,1.13,35.31,4.84
2006-02-06,27.4,22.82,1.21,37.96,5.2
2006-02-07,28.67,23.88,1.27,39.72,5.45
2006-02-08,30.27,25.21,1.34,41.93,5.75
2006-02-09,29.95,24.94,1.32,41.49,5.69
2006-02-10,29.63,24.68,1.31,41.05,5.63
2006-02-13,28.35,23.62,1.25,39.28,5.38
2006-02-14,29.31,24.41,1.3,40.61,5.57
2006-02-15,29.63,24.68,1.31,41.05,5.63
