date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2018-08-17,10.58,12.93,3.56,12.64,4.41
2018-08-20,10.8,13.19,3.63,12.89,4.5
2018-08-21,11.01,13.46,3.71,13.15,4.59
2018-08-22,10.8,13.19,3.63,12.89,4.5
2018-08-23,10.58,12.93,3.56,12.64,4.41
2018-08-24,10.29,12.58,3.46,12.29,4.29
2018-08-27,9.79,11.96,3.3,11.69,4.08
2018-08-28,9.93,12.14,3.34,11.86,4.14
2018-08-29,9.57,11.7,3.22,11.43,3.99
2018-08-30,9.79,11.96,3.3,11.69,4.08
2018-08-31,12.28,12.14,3.36,11.86,4.14
2018-09-03,11.65,11.52,3.19,11.26,3.93
2018-09-04,11.48,11.35,3.14,11.09,3.87
2018-09-05,10.85,10.73,2.97,10.49,3.66
2018-09-06,10.59,10.47,2.9,10.23,3.57
2018-09-07,10.59,10.47,2.9,10.23,3.57
2018-09-10,9.79,9.68,2.68,9.46,3.3
2018-09-11,9.16,9.06,2.51,8.85,3.09
2018-09-12,9.25,9.15,2.53,8.94,3.12
2018-09-13,9.07,8.97,2.48,8.77,3.06
2018-09-14,9.16,9.06,2.51,8.85,3.09
2018-09-17,9.52,9.41,2.61,9.2,3.21
2018-09-18,9.52,9.41,2.61,9.2,3.21
2018-09-19,9.87,9.76,2.7,9.54,3.33
2018-09-20,9.61,9.5,2.63,9.28,3.24
2018-09-21,9.61,9.5,2.63,9.28,3.24
2018-09-24,9.34,9.24,2.56,9.03,3.15
2018-09-26,9.7,9.59,2.65,9.37,3.27
2018-09-27,9.43,9.32,2.58,9.11,3.18
2018-09-28,9.52,9.41,2.61,9.2,3.21
2018-10-02,9.43,9.32,2.58,9.11,3.18
2018-10-03,9.25,9.15,2.53,8.94,3.12
2018-10-04,9.34,9.24,2.56,9.03,3.15
2018-10-05,9.34,9.24,2.56,9.03,3.15
2018-10-08,9.34,9.24,2.56,9.03,3.15
2018-10-09,9.16,9.06,2.51,8.85,3.09
2018-10-10,9.25,9.15,2.53,8.94,3.12
2018-10-11,9.16,9.06,2.51,8.85,3.09
2018-10-12,9.16,9.06,2.51,8.85,3.09
2018-10-15,9.34,9.24,2.56,9.03,3.15
2018-10-16,9.34,9.24,2.56,9.03,3.15
2018-10-18,9.34,9.24,2.56,9.03,3.15
2018-10-19,9.52,9.41,2.61,9.2,3.21
2018-10-22,9.34,9.24,2.56,9.03,3.15
2018-10-23,9.25,9.15,2.53,8.94,3.12
2018-10-24,9.07,8.97,2.48,8.77,3.06
2018-10-25,9.16,9.06,2.51,8.85,3.09
2018-10-26,9.25,9.15,2.53,8.94,3.12
2018-10-29,9.07,8.97,2.48,8.77,3.06
2018-10-30,8.98,8.88,2.46,8.68,3.03
2018-10-31,8.98,8.88,2.46,8.68,3.03
2018-11-01,8.98,8.88,2.46,8.68,3.03
2018-11-02,9.7,9.59,2.65,9.37,3.27
2018-11-05,9.61,9.5,2.63,9.28,3.24
2018-11-06,9.61,9.5,2.63,9.28,3.24
2018-11-07,9.25,9.15,2.53,8.94,3.12
2018-11-08,10.76,10.64,2.95,10.4,3.63
2018-11-09,10.94,10.82,3.0,10.57,3.69
2018-11-12,11.65,11.52,3.19,11.26,3.93
2018-11-13,11.83,11.7,3.24,11.43,3.99
2018-11-14,12.54,12.4,3.43,12.12,4.23
2018-11-15,12.81,12.67,3.51,12.38,4.32
2018-11-16,12.9,12.75,3.53,12.46,4.35
2018-11-19,13.34,13.19,3.65,12.89,4.5
2018-11-20,12.63,12.49,3.46,12.21,4.26
2018-11-21,12.81,12.67,3.51,12.38,4.32
2018-11-22,12.99,12.84,3.56,12.55,4.38
2018-11-23,12.81,12.67,3.51,12.38,4.32
2018-11-26,12.37,12.23,3.39,11.95,4.17
2018-11-27,12.72,12.58,3.48,12.29,4.29
2018-11-28,12.19,12.05,3.34,11.78,4.11
2018-11-29,12.19,12.05,3.34,11.78,4.11
2018-11-30,12.45,12.31,3.41,12.03,4.2
2018-12-03,12.45,12.31,3.41,12.03,4.2
2018-12-04,12.45,12.31,3.41,12.03,4.2
2018-12-05,12.37,12.23,3.39,11.95,4.17
2018-12-06,12.19,12.05,3.34,11.78,4.11
2018-12-07,12.45,12.31,3.41,12.03,4.2
2018-12-08,12.99,12.95,3.56,31.72,4.2
2018-12-09,12.99,12.95,3.56,31.72,4.2
2018-12-10,12.28,12.14,3.36,11.86,4.14
2018-12-11,12.37,12.23,3.39,11.95,4.17
2018-12-12,12.72,12.58,3.48,12.29,4.29
2018-12-13,12.72,12.58,3.48,12.29,4.29
2018-12-14,12.54,12.4,3.43,12.12,4.23
2018-12-17,12.28,12.14,3.36,11.86,4.14
2018-12-18,12.19,12.05,3.34,11.78,4.11
2018-12-19,12.1,11.96,3.31,11.69,4.08
2018-12-20,12.1,11.96,3.31,11.69,4.08
2018-12-21,11.56,11.43,3.17,11.17,3.9
2018-12-24,11.56,11.43,3.17,11.17,3.9
2018-12-27,11.3,11.17,3.09,10.92,3.81
2018-12-28,11.56,11.43,3.17,11.17,3.9
2018-12-31,12.9,12.75,3.53,12.46,4.35
2019-01-02,11.83,11.7,3.24,11.43,3.99
2019-01-03,11.48,11.35,3.14,11.09,3.87
2019-01-04,11.48,11.35,3.14,11.09,3.87
2019-01-07,11.48,11.35,3.14,11.09,3.87
2019-01-08,11.56,11.43,3.17,11.17,3.9
2019-01-09,11.12,10.99,3.04,10.75,3.75
2019-01-10,11.48,11.35,3.14,11.09,3.87
2019-01-11,11.48,11.35,3.14,11.09,3.87
2019-01-14,11.48,11.35,3.14,11.09,3.87
2019-01-15,11.03,10.91,3.02,10.66,3.72
2019-01-16,10.32,10.2,2.82,9.97,3.48
2019-01-17,11.03,10.91,3.02,10.66,3.72
2019-01-18,11.12,10.99,3.04,10.75,3.75
2019-01-21,11.21,11.08,3.07,10.83,3.78
2019-01-22,11.21,11.08,3.07,10.83,3.78
2019-01-23,11.21,11.08,3.07,10.83,3.78
2019-01-24,11.12,10.99,3.04,10.75,3.75
2019-01-25,11.12,10.99,3.04,10.75,3.75
2019-01-28,10.94,10.82,3.0,10.57,3.69
2019-01-29,12.01,11.87,3.29,11.6,4.05
2019-01-30,12.45,12.31,3.41,12.03,4.2
2019-01-31,11.83,11.7,3.24,11.43,3.99
2019-02-01,11.92,11.79,3.26,11.52,4.02
2019-02-04,11.74,11.61,3.21,11.35,3.96
2019-02-08,11.65,11.52,3.19,11.26,3.93
2019-02-11,11.65,11.52,3.19,11.26,3.93
2019-02-12,11.39,11.26,3.12,11.0,3.84
2019-02-13,11.74,11.61,3.21,11.35,3.96
2019-02-14,11.56,11.43,3.17,11.17,3.9
2019-02-15,11.3,11.17,3.09,10.92,3.81
2019-02-18,11.74,11.61,3.21,11.35,3.96
2019-02-19,12.54,12.4,3.43,12.12,4.23
