date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2019-06-18,9.78,9.78,1.18,-4.77,67.5
2019-06-19,10.31,10.31,1.24,-5.03,71.18
2019-06-20,10.05,10.05,1.21,-4.9,69.34
2019-06-21,9.78,9.78,1.18,-4.77,67.5
2019-06-24,9.43,9.43,1.13,-4.6,65.04
2019-06-25,9.25,9.25,1.11,-4.51,63.82
2019-06-26,9.07,9.07,1.09,-4.42,62.59
2019-06-27,8.89,8.89,1.07,-4.34,61.36
2019-06-28,9.43,9.43,1.13,-4.6,65.04
2019-07-02,9.43,9.43,1.13,-4.6,65.04
2019-07-03,9.69,9.69,1.17,-4.73,66.88
2019-07-04,9.34,9.34,1.12,-4.55,64.43
2019-07-05,9.34,9.34,1.12,-4.55,64.43
2019-07-08,9.34,9.34,1.12,-4.55,64.43
2019-07-09,9.78,9.78,1.18,-4.77,67.5
2019-07-10,10.31,10.31,1.24,-5.03,71.18
2019-07-11,10.58,10.58,1.27,-5.16,73.02
2019-07-12,10.49,10.49,1.26,-5.12,72.41
2019-07-15,9.78,9.78,1.18,-4.77,67.5
2019-07-16,9.6,9.6,1.16,-4.68,66.27
2019-07-17,8.98,8.98,1.08,-4.38,61.97
2019-07-18,9.25,9.25,1.11,-4.51,63.82
2019-07-19,9.34,9.34,1.12,-4.55,64.43
2019-07-22,9.34,9.34,1.12,-4.55,64.43
2019-07-23,9.51,9.51,1.14,-4.64,65.66
2019-07-24,9.51,9.51,1.14,-4.64,65.66
2019-07-25,9.25,9.25,1.11,-4.51,63.82
2019-07-26,8.98,8.98,1.08,-4.38,61.97
2019-07-29,8.98,8.98,1.08,-4.38,61.97
2019-07-30,9.07,9.07,1.09,-4.42,62.59
2019-07-31,8.89,8.89,1.07,-4.34,61.36
2019-08-01,9.16,9.16,1.1,-4.47,63.2
2019-08-02,8.98,8.98,1.08,-4.38,61.97
2019-08-05,8.98,8.98,1.08,-4.38,61.97
2019-08-06,8.63,8.63,1.04,-4.21,59.52
2019-08-07,8.8,8.8,1.06,-4.29,60.75
2019-08-08,8.8,8.8,1.06,-4.29,60.75
2019-08-09,8.89,8.89,1.07,-4.34,61.36
2019-08-12,8.89,8.89,1.07,-4.34,61.36
2019-08-13,9.25,9.25,1.11,-4.51,63.82
2019-08-14,8.89,8.89,1.07,-4.34,61.36
2019-08-15,8.89,8.89,1.07,-4.34,61.36
2019-08-16,8.89,8.89,1.07,-4.34,61.36
2019-08-19,8.98,8.98,1.08,-4.38,61.97
2019-08-20,8.8,8.8,1.06,-4.29,60.75
2019-08-21,9.16,9.16,1.1,-4.47,63.2
2019-08-22,9.07,9.07,1.09,-4.42,62.59
2019-08-23,9.07,9.07,1.09,-4.42,62.59
2019-08-26,8.06,8.8,0.74,-4.29,60.75
2019-08-27,8.06,8.8,0.74,-4.29,60.75
