date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2005-12-20,10.2,10.45,1.01,20.62,94.2
2005-12-21,10.09,10.34,1.0,20.4,93.2
2005-12-22,10.2,10.45,1.01,20.62,94.2
2005-12-23,10.04,10.28,0.99,20.29,92.7
2005-12-28,10.09,10.34,1.0,20.4,93.2
2005-12-29,9.98,10.23,0.98,20.18,92.2
2005-12-30,10.09,10.34,1.0,20.4,93.2
2006-01-03,10.15,10.39,1.0,20.51,93.7
2006-01-04,10.2,10.45,1.01,20.62,94.2
2006-01-05,10.42,10.67,1.03,21.06,96.21
2006-01-06,10.36,10.61,1.02,20.95,95.71
2006-01-09,10.47,10.73,1.03,21.17,96.71
2006-01-10,10.36,10.61,1.02,20.95,95.71
2006-01-11,10.31,10.56,1.02,20.84,95.21
2006-01-12,10.47,10.73,1.03,21.17,96.71
2006-01-13,11.12,11.39,1.1,22.49,102.72
2006-01-16,11.8,12.09,1.16,23.86,108.99
2006-01-17,11.39,11.67,1.12,23.03,105.23
2006-01-18,11.53,11.81,1.14,23.31,106.48
2006-01-19,11.53,11.81,1.14,23.31,106.48
2006-01-20,11.12,11.39,1.1,22.49,102.72
2006-01-23,11.12,11.39,1.1,22.49,102.72
2006-01-24,11.39,11.67,1.12,23.03,105.23
2006-01-25,11.26,11.53,1.11,22.76,103.97
2006-01-26,11.53,11.81,1.14,23.31,106.48
2006-01-27,11.39,11.67,1.12,23.03,105.23
2006-02-01,11.74,12.02,1.16,23.72,108.38
2006-02-02,11.33,11.6,1.12,22.9,104.6
2006-02-03,11.05,11.32,1.09,22.34,102.08
2006-02-06,11.6,11.88,1.14,23.45,107.12
2006-02-07,12.28,12.58,1.21,24.83,113.42
2006-02-08,12.28,12.58,1.21,24.83,113.42
2006-02-09,12.56,12.86,1.24,25.38,115.94
2006-02-10,12.56,12.86,1.24,25.38,115.94
2006-02-13,12.42,12.72,1.22,25.1,114.68
2006-02-14,12.42,12.72,1.22,25.1,114.68
2006-02-15,12.28,12.58,1.21,24.83,113.42
2006-02-16,12.01,12.3,1.18,24.28,110.9
2006-02-17,11.74,12.02,1.16,23.72,108.38
2006-02-20,11.74,12.02,1.16,23.72,108.38
2006-02-21,11.87,12.16,1.17,24.0,109.64
2006-02-22,11.87,12.16,1.17,24.0,109.64
2006-02-23,11.87,12.16,1.17,24.0,109.64
2006-02-24,11.87,12.16,1.17,24.0,109.64
2006-02-27,11.87,12.16,1.17,24.0,109.64
2006-02-28,11.49,11.77,1.13,23.23,106.11
2006-03-01,11.63,11.91,1.15,23.5,107.38
2006-03-02,11.49,11.77,1.13,23.23,106.11
2006-03-03,11.63,11.91,1.15,23.5,107.38
2006-03-06,11.08,11.35,1.09,22.4,102.32
2006-03-07,11.08,11.35,1.09,22.4,102.32
2006-03-08,10.83,11.1,1.07,21.9,100.05
2006-03-09,11.08,11.35,1.09,22.4,102.32
2006-03-10,10.94,11.21,1.08,22.12,101.06
2006-03-13,10.94,11.21,1.08,22.12,101.06
2006-03-14,11.08,11.35,1.09,22.4,102.32
2006-03-15,11.35,11.63,1.12,22.95,104.85
2006-03-16,11.49,11.77,1.13,23.23,106.11
2006-03-17,11.49,11.77,1.13,23.23,106.11
2006-03-20,11.49,11.77,1.13,23.23,106.11
2006-03-21,11.49,11.77,1.13,23.23,106.11
2006-03-22,11.63,11.91,1.15,23.5,107.38
2006-03-23,11.63,11.91,1.15,23.5,107.38
2006-03-24,11.35,11.63,1.12,22.95,104.85
2006-03-27,11.49,11.77,1.13,23.23,106.11
2006-03-28,11.35,11.63,1.12,22.95,104.85
2006-03-29,16.5,16.5,1.08,22.12,101.06
2006-03-30,16.5,16.5,1.08,22.12,101.06
