date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2022-12-16,-7.8,-4.77,-2.88,-18.15,83.72
2022-12-19,-7.72,-4.72,-2.85,-17.96,82.83
2022-12-20,-7.53,-4.61,-2.78,-17.52,80.78
2022-12-21,-9.29,-5.68,-3.43,-21.62,99.7
2022-12-22,-9.89,-6.05,-3.65,-23.0,106.09
2022-12-23,-10.08,-6.17,-3.72,-23.45,108.14
2022-12-28,-9.84,-6.02,-3.63,-22.89,105.58
2022-12-29,-10.01,-6.12,-3.69,-23.28,107.37
2022-12-30,-10.13,-6.19,-3.74,-23.56,108.65
2023-01-03,-9.57,-5.85,-3.53,-22.25,102.64
2023-01-04,-9.39,-5.74,-3.46,-21.84,100.72
2023-01-05,-9.44,-5.77,-3.48,-21.95,101.23
2023-01-06,-9.45,-5.78,-3.49,-21.98,101.36
2023-01-09,-9.44,-5.77,-3.48,-21.95,101.23
2023-01-10,-9.44,-5.77,-3.48,-21.95,101.23
2023-01-11,-9.52,-5.82,-3.51,-22.15,102.17
2023-01-12,-11.15,-6.82,-4.11,-25.93,119.58
2023-01-13,-11.43,-6.99,-4.22,-26.59,122.65
2023-01-16,-12.92,-7.9,-4.77,-30.06,138.65
2023-01-17,-12.86,-7.87,-4.75,-29.93,138.01
2023-01-18,-14.27,-8.73,-5.27,-33.2,153.12
2023-01-19,-13.19,-8.07,-4.87,-30.67,141.47
2023-01-20,-12.89,-7.88,-4.76,-29.98,138.27
2023-01-26,-12.78,-7.82,-4.72,-29.73,137.12
2023-01-27,-13.71,-8.39,-5.06,-31.9,147.1
2023-01-30,-13.41,-8.2,-4.95,-31.2,143.9
2023-01-31,-13.23,-8.09,-4.88,-30.79,141.98
2023-02-01,-14.18,-8.67,-5.23,-32.98,152.1
2023-02-02,-14.0,-8.56,-5.17,-32.56,150.18
2023-02-03,-15.3,-9.36,-5.65,-35.59,164.13
2023-02-06,-15.51,-9.49,-5.72,-36.09,166.44
2023-02-07,-17.35,-10.61,-6.4,-40.36,186.15
2023-02-08,-16.75,-10.25,-6.18,-38.97,179.75
2023-02-09,-17.15,-10.49,-6.33,-39.89,183.98
2023-02-10,-16.95,-10.36,-6.25,-39.42,181.8
2023-02-13,-17.12,-10.47,-6.32,-39.84,183.72
2023-02-14,-18.16,-11.11,-6.7,-42.25,194.86
2023-02-15,-17.89,-10.94,-6.6,-41.61,191.91
2023-02-16,-16.99,-10.39,-6.27,-39.53,182.31
2023-02-17,-17.23,-10.54,-6.36,-40.09,184.87
2023-02-20,-17.05,-10.43,-6.29,-39.67,182.95
2023-02-21,-18.33,-11.21,-6.76,-42.64,196.65
2023-02-22,-18.42,-11.27,-6.8,-42.86,197.68
2023-02-23,-18.76,-11.47,-6.92,-43.64,201.26
2023-02-24,-18.14,-11.09,-6.69,-42.19,194.6
2023-02-27,-19.26,-11.78,-7.11,-44.8,206.64
2023-02-28,-17.59,-10.76,-6.49,-40.92,188.71
2023-03-01,-18.05,-11.04,-6.66,-42.0,193.71
2023-03-02,-19.09,-11.68,-7.05,-44.42,204.85
2023-03-03,-17.89,-10.94,-6.6,-41.61,191.91
2023-03-06,-19.76,-12.09,-7.29,-45.97,212.02
2023-03-07,-18.02,-11.02,-6.65,-41.92,193.32
2023-03-08,-17.23,-10.54,-6.36,-40.09,184.87
2023-03-09,-17.49,-10.7,-6.46,-40.7,187.69
2023-03-10,-18.26,-11.17,-6.74,-42.47,195.88
2023-03-13,-17.33,-10.6,-6.39,-40.31,185.9
2023-03-14,-16.38,-10.02,-6.05,-38.11,175.78
2023-03-15,-15.31,-9.36,-5.65,-35.62,164.26
2023-03-16,-15.84,-9.69,-5.84,-36.84,169.89
2023-03-17,-15.99,-9.78,-5.9,-37.2,171.56
2023-03-20,-16.15,-9.88,-5.96,-37.56,173.22
2023-03-21,-16.23,-9.93,-5.99,-37.75,174.12
2023-03-22,-15.93,-9.74,-5.88,-37.06,170.92
2023-03-23,-16.42,-10.04,-6.06,-38.2,176.17
2023-03-24,-16.47,-10.07,-6.08,-38.31,176.68
2023-03-27,-16.48,-10.08,-6.08,-38.34,176.81
2023-03-28,-17.16,-10.5,-6.33,-39.92,184.1
2023-03-29,-16.28,-9.96,-6.01,-37.86,174.63
2023-03-30,-15.45,-15.45,16.78,-38.42,177.19
2023-03-31,-16.05,-16.05,17.44,-39.92,184.1
2023-04-03,-15.07,-15.07,16.37,-37.48,172.84
2023-04-04,-15.31,-15.31,16.63,-38.06,175.53
2023-04-06,-15.62,-15.62,16.97,-38.84,179.11
2023-04-11,-15.94,-15.94,17.32,-39.64,182.82
2023-04-12,-17.24,-17.24,18.73,-42.86,197.68
2023-04-13,-16.66,-16.66,18.09,-41.42,191.02
2023-04-14,-16.37,-16.37,17.78,-40.7,187.69
2023-04-17,-15.85,-15.85,17.22,-39.42,181.8
2023-04-18,-15.85,-15.85,17.22,-39.42,181.8
2023-04-19,-15.13,-15.13,16.43,-37.61,173.48
2023-04-20,-15.47,-15.47,16.81,-38.48,177.45
2023-04-21,-15.71,-15.71,17.06,-39.06,180.14
2023-04-24,-15.81,-15.81,17.17,-39.31,181.29
2023-04-25,-15.19,-15.19,16.51,-37.78,174.25
2023-04-26,-15.31,-15.31,16.63,-38.06,175.53
2023-04-27,-15.45,-15.45,16.78,-38.42,177.19
2023-04-28,-15.59,-15.59,16.93,-57.27,178.73
