date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2019-05-31,75.02,75.02,19.33,37.22,66.05
2019-06-03,75.24,75.24,19.38,37.33,66.25
2019-06-04,72.05,72.05,18.56,35.75,63.44
2019-06-05,73.19,73.19,18.86,36.31,64.45
2019-06-06,73.65,73.65,18.97,36.54,64.85
2019-06-10,73.88,73.88,19.03,36.65,65.05
2019-06-11,72.74,72.74,18.74,36.09,64.04
2019-06-12,72.05,72.05,18.56,35.75,63.44
2019-06-13,71.37,71.37,18.39,35.41,62.84
2019-06-14,71.82,71.82,18.5,35.63,63.24
2019-06-17,70.23,70.23,18.09,34.84,61.84
2019-06-18,69.54,69.54,17.92,34.5,61.23
2019-06-19,71.37,71.37,18.39,35.41,62.84
2019-06-20,73.65,73.65,18.97,36.54,64.85
2019-06-21,71.82,71.82,18.5,35.63,63.24
2019-06-24,70.68,70.68,18.21,35.07,62.24
2019-06-25,67.95,67.95,17.5,33.71,59.83
2019-06-26,70.91,70.91,18.27,35.18,62.44
2019-06-27,72.28,72.28,18.62,35.86,63.64
2019-06-28,71.14,71.14,18.33,35.29,62.64
2019-07-02,71.14,71.14,18.33,35.29,62.64
2019-07-03,70.91,70.91,18.27,35.18,62.44
2019-07-04,79.58,79.58,20.5,39.48,70.07
2019-07-05,80.03,80.03,20.62,39.71,70.47
2019-07-08,78.89,78.89,20.32,39.14,69.46
2019-07-09,77.3,77.3,19.91,38.35,68.06
2019-07-10,78.44,78.44,20.21,38.91,69.06
2019-07-11,78.44,78.44,20.21,38.91,69.06
2019-07-12,77.07,77.07,19.85,38.23,67.86
2019-07-15,77.52,77.52,19.97,38.46,68.26
2019-07-16,77.07,77.07,19.85,38.23,67.86
2019-07-17,76.38,76.38,19.68,37.9,67.26
2019-07-18,76.16,76.16,19.62,37.78,67.06
2019-07-19,78.21,78.21,20.15,38.8,68.86
2019-07-22,76.16,76.16,19.62,37.78,67.06
2019-07-23,77.98,77.98,20.09,38.69,68.66
2019-07-24,78.44,78.44,20.21,38.91,69.06
2019-07-25,77.52,77.52,19.97,38.46,68.26
2019-07-26,76.61,76.61,19.74,38.01,67.46
2019-07-29,74.1,74.1,19.09,36.76,65.25
2019-07-30,74.79,74.79,19.27,37.1,65.85
2019-07-31,77.3,77.3,19.91,38.35,68.06
2019-08-01,74.1,74.1,19.09,36.76,65.25
2019-08-02,73.19,73.19,18.86,36.31,64.45
2019-08-05,71.14,71.14,18.33,35.29,62.64
2019-08-06,71.6,71.6,18.44,35.52,63.04
2019-08-07,73.42,73.42,18.91,36.42,64.65
2019-08-08,72.05,72.05,18.56,35.75,63.44
2019-08-09,70.91,70.91,18.27,35.18,62.44
2019-08-12,72.74,72.74,18.74,36.09,64.04
2019-08-13,73.19,73.19,18.86,36.31,64.45
2019-08-14,72.96,72.96,18.8,36.2,64.24
2019-08-15,77.52,77.52,19.97,38.46,68.26
2019-08-16,78.89,78.89,20.32,39.14,69.46
2019-08-19,83.45,83.45,21.5,41.4,73.48
2019-08-20,53.56,84.36,3.84,41.85,74.28
2019-08-21,51.39,80.94,3.69,40.16,71.27
2019-08-22,51.1,80.49,3.67,39.93,70.87
2019-08-23,50.81,80.03,3.65,39.71,70.47
2019-08-26,50.81,80.03,3.65,39.71,70.47
2019-08-27,50.81,80.03,3.65,39.71,70.47
2019-08-28,53.13,83.68,3.81,41.52,73.68
2019-08-29,53.27,83.91,3.82,41.63,73.88
2019-08-30,52.26,82.31,3.75,40.84,72.48
2019-09-02,50.96,80.26,3.66,39.82,70.67
2019-09-03,49.51,77.98,3.55,38.69,68.66
2019-09-04,51.1,80.49,3.67,39.93,70.87
2019-09-05,52.55,82.77,3.77,41.06,72.88
2019-09-06,59.21,93.26,4.25,46.27,82.11
2019-09-09,60.8,95.77,4.36,47.51,84.32
2019-09-10,61.24,96.45,4.39,47.85,84.92
2019-09-11,58.2,91.66,4.18,45.47,80.71
2019-09-12,60.51,95.31,4.34,47.28,83.92
