date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2022-09-06,15.39,52.38,3.07,-15.56,124.21
2022-09-07,15.41,52.44,3.08,-15.58,124.37
2022-09-08,15.72,53.49,3.14,-15.89,126.85
2022-09-09,15.39,52.38,3.07,-15.56,124.21
2022-09-13,15.39,52.38,3.07,-15.56,124.21
2022-09-14,15.41,52.44,3.08,-15.58,124.37
2022-09-15,15.39,52.38,3.07,-15.56,124.21
2022-09-16,15.39,52.38,3.07,-15.56,124.21
2022-09-19,15.39,52.38,3.07,-15.56,124.21
2022-09-20,15.39,52.38,3.07,-15.56,124.21
2022-09-21,15.39,52.38,3.07,-15.56,124.21
2022-09-22,15.39,52.38,3.07,-15.56,124.21
2022-09-23,15.39,52.38,3.07,-15.56,124.21
2022-09-26,15.39,52.38,3.07,-15.56,124.21
2022-09-27,15.39,52.38,3.07,-15.56,124.21
2022-09-28,13.97,52.38,3.03,-15.56,124.21
2022-09-29,12.57,47.14,2.73,-14.01,111.79
2022-09-30,13.34,50.02,2.9,-14.86,118.62
2022-10-03,13.0,48.74,2.82,-14.48,115.62
2022-10-05,12.53,46.97,2.72,-13.96,111.43
2022-10-06,12.93,48.48,2.81,-14.4,115.0
2022-10-07,12.58,47.17,2.73,-14.01,111.89
2022-10-10,12.75,47.82,2.77,-14.21,113.45
2022-10-11,13.16,49.33,2.86,-14.66,117.02
2022-10-12,12.72,47.69,2.76,-14.17,113.14
2022-10-13,13.45,50.45,2.92,-14.99,119.66
2022-10-14,13.77,51.62,2.99,-15.34,122.46
2022-10-17,13.54,50.77,2.94,-15.08,120.44
2022-10-18,12.86,48.22,2.79,-14.33,114.38
2022-10-19,12.16,45.6,2.64,-13.55,108.16
2022-10-20,13.17,49.4,2.86,-14.68,117.18
2022-10-21,12.96,48.61,2.82,-14.44,115.31
2022-10-24,12.95,48.55,2.81,-14.42,115.16
2022-10-25,12.77,47.89,2.77,-14.23,113.6
2022-10-26,11.88,44.55,2.58,-13.24,105.68
2022-10-27,11.53,43.24,2.5,-12.85,102.57
2022-10-28,12.82,48.09,2.79,-14.29,114.07
2022-10-31,12.86,48.22,2.79,-14.33,114.38
2022-11-01,12.46,46.71,2.71,-13.88,110.8
2022-11-02,12.79,47.96,2.78,-14.25,113.76
2022-11-03,14.05,52.67,3.05,-15.65,124.95
2022-11-04,14.36,53.85,3.12,-16.0,127.74
2022-11-07,15.34,57.52,3.33,-17.09,136.45
2022-11-08,15.25,57.19,3.31,-16.99,135.67
2022-11-09,14.21,53.26,3.09,-15.82,126.34
2022-11-10,14.33,53.72,3.11,-15.96,127.43
2022-11-11,16.44,61.65,3.57,-18.32,146.24
2022-11-14,17.47,65.51,3.8,-19.46,155.41
2022-11-15,18.87,70.75,4.1,-21.02,167.84
2022-11-16,18.87,70.75,4.1,-21.02,167.84
2022-11-17,21.05,78.94,4.57,-23.45,187.26
2022-11-18,23.76,89.1,5.16,-26.47,211.35
2022-11-21,22.16,83.07,4.81,-24.68,197.05
2022-11-22,20.62,77.31,4.48,-22.97,183.38
2022-11-23,22.0,82.48,4.78,-24.5,195.66
2022-11-24,22.1,82.87,4.8,-24.62,196.59
2022-11-25,25.49,95.58,5.54,-28.4,226.74
2022-11-28,26.21,98.27,5.69,-29.2,233.11
2022-11-29,27.24,102.14,5.92,-30.34,242.28
2022-11-30,24.46,91.72,5.31,-27.25,217.57
2022-12-01,22.71,85.17,4.93,-25.3,202.03
2022-12-02,24.81,93.03,5.39,-27.64,220.68
2022-12-05,23.31,87.39,5.06,-25.96,207.31
2022-12-06,23.38,87.66,5.08,-26.04,207.93
2022-12-07,23.06,86.48,5.01,-25.69,205.14
2022-12-08,22.87,85.76,4.97,-25.48,203.43
2022-12-09,24.81,93.03,5.39,-27.64,220.68
2022-12-12,25.68,96.3,5.58,-28.61,228.45
2022-12-13,24.64,92.37,5.35,-27.44,219.12
2022-12-14,25.14,94.27,5.46,-28.01,223.63
2022-12-15,24.9,93.36,5.41,-27.74,221.45
2022-12-16,26.73,100.24,5.81,-29.78,237.77
2022-12-19,27.87,104.49,6.05,-31.04,247.87
2022-12-20,27.94,104.76,6.07,-31.12,248.49
2022-12-21,27.08,101.55,5.88,-30.17,240.88
2022-12-22,28.17,105.61,6.12,-31.38,250.51
2022-12-23,28.76,107.83,6.25,-32.04,255.8
2022-12-28,30.05,112.68,6.53,-33.48,267.3
2022-12-29,29.72,111.44,6.46,-33.11,264.35
2022-12-30,33.55,125.79,7.29,-37.37,298.38
2023-01-03,29.56,110.85,6.42,-32.93,262.95
2023-01-04,28.79,107.97,6.25,-32.08,256.11
2023-01-05,31.45,117.92,6.83,-35.03,279.73
2023-01-06,36.27,136.01,7.88,-40.41,322.62
2023-01-09,37.43,140.33,8.13,-41.69,332.88
2023-01-10,36.74,137.77,7.98,-40.93,326.82
2023-01-11,36.17,135.61,7.86,-40.29,321.69
2023-01-12,35.28,132.27,7.66,-39.3,313.76
2023-01-13,35.91,134.63,7.8,-40.0,319.36
2023-01-16,35.96,134.83,7.81,-40.06,319.82
2023-01-17,36.69,137.58,7.97,-40.87,326.35
2023-01-18,35.49,133.06,7.71,-39.53,315.63
2023-01-19,35.01,131.29,7.61,-39.01,311.43
2023-01-20,38.79,145.44,8.43,-43.21,345.0
2023-01-26,42.98,161.16,9.34,-47.88,382.3
2023-01-27,39.31,147.4,8.54,-43.79,349.66
2023-01-30,28.83,108.1,6.26,-32.12,256.42
2023-01-31,24.22,90.8,5.26,-26.98,215.39
2023-02-01,28.51,106.92,6.19,-31.76,253.62
2023-02-02,28.83,108.1,6.26,-32.12,256.42
2023-02-03,29.35,110.06,6.38,-32.7,261.08
2023-02-06,27.78,104.17,6.03,-30.95,247.1
2023-02-07,26.21,98.27,5.69,-29.2,233.11
2023-02-08,26.84,100.63,5.83,-29.9,238.7
2023-02-09,27.47,102.99,5.97,-30.6,244.3
2023-02-10,27.47,102.99,5.97,-30.6,244.3
2023-02-13,28.31,106.13,6.15,-31.53,251.76
2023-02-14,29.88,112.03,6.49,-33.28,265.74
2023-02-15,31.24,117.14,6.79,-34.8,277.87
2023-02-16,32.81,123.03,7.13,-36.55,291.85
2023-02-17,32.97,123.62,7.16,-36.73,293.25
2023-02-20,33.02,123.82,7.17,-36.79,293.72
2023-02-21,32.71,122.64,7.1,-36.44,290.92
2023-02-22,32.92,123.43,7.15,-36.67,292.78
2023-02-23,33.23,124.61,7.22,-37.02,295.58
2023-02-24,33.55,125.79,7.29,-37.37,298.38
2023-02-27,31.71,118.91,6.89,-35.33,282.06
