date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2011-12-16,19.85,31.13,3.34,1.14,272.25
2011-12-19,18.88,29.6,3.18,1.08,258.85
2011-12-20,17.86,28.01,3.01,1.02,244.92
2011-12-21,17.9,28.07,3.01,1.02,245.44
2011-12-22,18.16,28.48,3.06,1.04,249.05
2011-12-23,18.42,28.89,3.1,1.06,252.66
2011-12-28,18.54,29.07,3.12,1.06,254.21
2011-12-29,19.21,30.13,3.24,1.1,263.49
2011-12-30,19.33,30.31,3.25,1.11,265.03
2012-01-03,19.55,30.66,3.29,1.12,268.13
2012-01-04,19.21,30.13,3.24,1.1,263.49
2012-01-05,18.76,29.42,3.16,1.07,257.3
2012-01-06,18.05,28.3,3.04,1.03,247.5
2012-01-09,18.5,29.01,3.12,1.06,253.69
2012-01-10,19.44,30.49,3.27,1.11,266.58
2012-01-11,19.53,30.63,3.29,1.12,268.35
2012-01-12,19.46,30.51,3.28,1.11,267.32
2012-01-13,18.89,29.63,3.18,1.08,259.56
2012-01-16,18.89,29.63,3.18,1.08,259.56
2012-01-17,19.42,30.45,3.27,1.11,266.8
2012-01-18,20.96,32.87,3.53,1.2,288.0
2012-01-19,21.79,34.17,3.67,1.25,299.37
2012-01-20,21.45,33.64,3.61,1.23,294.72
2012-01-26,22.01,34.52,3.71,1.26,302.48
2012-01-27,21.83,34.23,3.68,1.25,299.89
2012-01-30,21.04,32.99,3.54,1.2,289.03
2012-01-31,21.56,33.82,3.63,1.23,296.27
2012-02-01,21.79,34.17,3.67,1.25,299.37
2012-02-02,23.63,37.06,3.98,1.35,324.71
2012-02-03,23.67,37.12,3.99,1.36,325.23
2012-02-06,23.93,37.53,4.03,1.37,328.85
2012-02-07,23.26,36.47,3.92,1.33,319.54
2012-02-08,24.46,38.36,4.12,1.4,336.08
2012-02-09,24.42,38.3,4.11,1.4,335.57
2012-02-10,24.38,38.24,4.11,1.4,335.05
2012-02-13,25.06,39.3,4.22,1.44,344.36
2012-02-14,25.06,39.3,4.22,1.44,344.36
2012-02-15,26.83,42.08,4.52,1.54,368.66
2012-02-16,26.72,41.9,4.5,1.53,367.11
2012-02-17,26.38,41.37,4.44,1.51,362.45
2012-02-20,26.64,41.78,4.49,1.53,366.07
2012-02-21,26.34,41.31,4.44,1.51,361.94
2012-02-22,26.94,42.26,4.54,1.54,370.21
2012-02-23,26.64,41.78,4.49,1.53,366.07
2012-02-24,26.98,42.31,4.54,1.55,370.73
2012-02-27,26.23,41.13,4.42,1.5,360.39
2012-02-28,26.0,40.78,4.38,1.49,357.28
2012-02-29,25.7,40.31,4.33,1.47,353.15
2012-03-01,25.1,39.36,4.23,1.44,344.87
2012-03-02,26.08,40.9,4.39,1.49,358.32
2012-03-05,25.48,39.95,4.29,1.46,350.05
2012-03-06,24.01,37.65,4.04,1.37,329.88
2012-03-07,23.59,37.0,3.97,1.35,324.19
2012-03-08,24.54,38.48,4.13,1.41,337.12
2012-03-09,24.8,38.89,4.18,1.42,340.74
2012-03-12,24.42,38.3,4.11,1.4,335.57
2012-03-13,23.97,37.59,4.04,1.37,329.36
2012-03-14,24.57,38.54,4.14,1.41,337.64
2012-03-15,24.84,38.95,4.18,1.42,341.26
2012-03-16,24.84,38.95,4.18,1.42,341.26
2012-03-19,25.06,39.3,4.22,1.44,344.36
2012-03-20,24.61,38.6,4.14,1.41,338.15
2012-03-21,24.42,38.3,4.11,1.4,335.57
2012-03-22,24.65,38.66,4.15,1.41,338.67
2012-03-23,23.86,37.42,4.02,1.37,327.81
2012-03-26,24.2,37.95,4.07,1.39,332.47
2012-03-27,24.61,38.6,4.14,1.41,338.15
2012-03-28,24.16,37.89,4.07,1.38,331.95
2012-03-29,27.38,27.38,3.84,1.31,313.33
2012-03-30,28.6,28.6,4.01,1.36,327.29
2012-04-02,27.83,27.83,3.9,1.33,318.51
2012-04-03,28.01,28.01,3.93,1.34,320.57
2012-04-05,29.32,29.32,4.11,1.4,335.57
2012-04-10,28.91,28.91,4.06,1.38,330.91
2012-04-11,28.46,28.46,3.99,1.36,325.74
2012-04-12,28.82,28.82,4.04,1.37,329.88
2012-04-13,29.32,29.32,4.11,1.4,335.57
2012-04-16,28.42,28.42,3.99,1.36,325.23
2012-04-17,28.46,28.46,3.99,1.36,325.74
2012-04-18,29.32,29.32,4.11,1.4,335.57
2012-04-19,30.95,30.95,4.34,1.48,354.18
2012-04-20,31.13,31.13,2.78,1.55,356.25
2012-04-23,30.95,30.95,2.77,1.55,354.18
2012-04-24,30.99,30.99,2.77,1.55,354.7
2012-04-25,31.31,31.31,2.8,1.56,358.32
2012-04-26,37.47,31.76,2.7,1.59,363.49
2012-04-27,36.35,30.81,2.62,1.54,352.63
2012-04-30,37.37,31.67,2.69,1.58,362.45
2012-05-02,39.02,33.07,2.81,1.65,378.48
2012-05-03,39.23,33.25,2.83,1.66,380.55
2012-05-04,38.91,32.98,2.8,1.65,377.45
2012-05-07,37.26,31.58,2.68,1.58,361.42
2012-05-08,37.74,31.99,2.72,1.6,366.07
2012-05-09,36.51,30.95,2.63,1.55,354.18
2012-05-10,36.83,31.22,2.65,1.56,357.28
2012-05-11,35.77,30.31,2.58,1.51,346.94
2012-05-14,34.91,29.59,2.51,1.48,338.67
2012-05-15,35.07,29.73,2.53,1.48,340.22
2012-05-16,32.2,27.29,2.32,1.36,312.3
2012-05-17,32.78,27.78,2.36,1.39,317.99
2012-05-18,31.93,27.06,2.3,1.35,309.72
2012-05-21,30.33,25.71,2.18,1.28,294.2
2012-05-22,30.22,25.62,2.18,1.28,293.17
2012-05-23,29.0,24.58,2.09,1.23,281.28
2012-05-24,29.21,24.76,2.1,1.24,283.35
2012-05-25,30.01,25.43,2.16,1.27,291.1
2012-05-28,31.18,26.43,2.25,1.32,302.48
2012-05-29,31.82,26.97,2.29,1.35,308.68
2012-05-30,30.97,26.25,2.23,1.31,300.41
2012-05-31,31.24,26.47,2.25,1.32,302.99
2012-06-01,31.61,26.79,2.28,1.34,306.61
2012-06-04,30.81,26.11,2.22,1.3,298.86
2012-06-05,31.29,26.52,2.25,1.32,303.51
2012-06-06,31.88,27.02,2.3,1.35,309.2
2012-06-07,31.98,27.11,2.3,1.35,310.23
2012-06-08,32.57,27.6,2.35,1.38,315.92
2012-06-11,33.96,28.78,2.45,1.44,329.36
2012-06-12,33.85,28.69,2.44,1.43,328.33
2012-06-13,34.65,29.37,2.49,1.47,336.08
2012-06-14,34.12,28.91,2.46,1.44,330.91
2012-06-15,33.96,28.78,2.45,1.44,329.36
2012-06-18,32.62,27.65,2.35,1.38,316.44
2012-06-19,32.78,27.78,2.36,1.39,317.99
2012-06-20,32.57,27.6,2.35,1.38,315.92
2012-06-21,30.92,26.2,2.23,1.31,299.89
2012-06-22,30.86,26.16,2.22,1.31,299.37
2012-06-25,30.54,25.89,2.2,1.29,296.27
2012-06-26,30.92,26.2,2.23,1.31,299.89
2012-06-27,30.97,26.25,2.23,1.31,300.41
2012-06-28,30.33,25.71,2.18,1.28,294.2
2012-06-29,31.5,26.7,2.27,1.33,305.58
2012-07-03,32.36,27.42,2.33,1.37,313.85
2012-07-04,31.72,26.88,2.28,1.34,307.65
2012-07-05,31.98,27.11,2.3,1.35,310.23
2012-07-06,33.21,28.15,2.39,1.41,322.12
2012-07-09,32.04,27.15,2.31,1.36,310.75
2012-07-10,31.77,26.93,2.29,1.34,308.16
2012-07-11,31.66,26.84,2.28,1.34,307.13
2012-07-12,31.08,26.34,2.24,1.32,301.44
2012-07-13,31.13,26.38,2.24,1.32,301.96
2012-07-16,31.34,26.56,2.26,1.33,304.03
2012-07-17,29.53,25.03,2.13,1.25,286.45
2012-07-18,28.47,24.12,2.05,1.2,276.11
2012-07-19,28.84,24.44,2.08,1.22,279.73
2012-07-20,28.89,24.49,2.08,1.22,280.24
2012-07-23,26.76,22.68,1.93,1.13,259.56
2012-07-24,26.28,22.27,1.89,1.11,254.91
2012-07-25,25.53,21.64,1.84,1.08,247.67
2012-07-26,25.53,21.64,1.84,1.08,247.67
2012-07-27,26.65,22.59,1.92,1.13,258.53
2012-07-30,25.69,21.78,1.85,1.09,249.22
2012-07-31,25.96,22.0,1.87,1.1,251.81
2012-08-01,26.23,22.23,1.89,1.11,254.39
2012-08-02,25.91,21.96,1.87,1.1,251.29
2012-08-03,25.96,22.0,1.87,1.1,251.81
2012-08-06,26.12,22.14,1.88,1.11,253.36
2012-08-07,26.39,22.36,1.9,1.12,255.94
2012-08-08,26.17,22.18,1.88,1.11,253.87
2012-08-09,26.92,22.81,1.94,1.14,261.11
2012-08-10,26.81,22.72,1.93,1.13,260.08
2012-08-13,26.01,22.05,1.87,1.1,252.32
2012-08-14,25.91,21.96,1.87,1.1,251.29
2012-08-15,25.59,21.69,1.84,1.08,248.19
2012-08-16,25.43,21.55,1.83,1.08,246.63
2012-08-17,25.53,21.64,1.84,1.08,247.67
2012-08-20,25.53,21.64,1.84,1.08,247.67
2012-08-21,26.01,22.05,1.87,1.1,252.32
2012-08-22,25.53,21.64,1.84,1.08,247.67
2012-08-23,25.75,21.82,1.85,1.09,249.74
