date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2020-09-09,75.54,67.24,29.37,44.53,1652.18
2020-09-10,81.68,72.71,31.76,48.15,1786.54
2020-09-11,79.64,70.88,30.96,46.95,1741.75
2020-09-14,82.25,73.21,31.98,48.49,1798.98
2020-09-15,80.32,71.49,31.23,47.35,1756.68
2020-09-16,78.16,69.57,30.39,46.07,1709.4
2020-09-17,79.3,70.58,30.83,46.75,1734.29
2020-09-18,81.34,72.4,31.63,47.95,1779.07
2020-09-21,81.91,72.91,31.85,48.29,1791.52
2020-09-22,83.5,74.33,32.47,49.23,1826.35
2020-09-23,89.42,79.59,34.77,52.71,1955.74
2020-09-24,78.67,76.96,30.9,50.97,1891.04
2020-09-25,72.77,71.19,28.59,47.15,1749.22
2020-09-28,73.81,72.2,28.99,47.82,1774.1
2020-09-29,72.46,70.88,28.46,46.95,1741.75
2020-09-30,72.84,71.25,28.61,47.19,1762.13
2020-10-05,74.09,72.47,29.1,48.0,1792.34
2020-10-06,78.15,76.44,30.7,50.63,1890.52
2020-10-07,76.58,74.92,30.08,49.62,1852.76
2020-10-08,76.79,75.12,30.16,49.75,1857.79
2020-10-09,76.17,74.51,29.92,49.35,1842.69
2020-10-12,78.46,76.75,30.82,50.83,1898.07
2020-10-14,78.98,77.26,31.02,51.17,1910.66
2020-10-15,75.75,74.1,29.76,49.08,1832.62
2020-10-16,77.0,75.33,30.25,49.89,1862.83
2020-10-19,75.54,73.9,29.67,48.94,1827.58
2020-10-20,74.92,73.29,29.43,48.54,1812.48
2020-10-21,76.79,75.12,30.16,49.75,1857.79
2020-10-22,76.17,74.51,29.92,49.35,1842.69
2020-10-23,74.71,73.09,29.35,48.4,1807.45
2020-10-27,74.3,72.68,29.18,48.13,1797.38
2020-10-28,73.88,72.27,29.02,47.87,1787.31
2020-10-29,73.88,72.27,29.02,47.87,1787.31
2020-10-30,73.88,72.27,29.02,47.87,1787.31
2020-11-02,75.96,74.31,29.84,49.21,1837.65
2020-11-03,75.02,73.39,29.47,48.61,1815.0
2020-11-04,78.87,77.16,30.98,51.1,1908.14
2020-11-05,78.87,77.16,30.98,51.1,1908.14
2020-11-06,78.56,76.85,30.86,50.9,1900.59
2020-11-09,81.06,79.29,31.84,52.52,1961.0
2020-11-10,81.89,80.11,32.17,53.06,1981.14
2020-11-11,77.0,75.33,30.25,49.89,1862.83
2020-11-12,77.52,75.83,30.45,50.22,1875.41
2020-11-13,77.52,75.83,30.45,50.22,1875.41
