,序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
0,1,01299,友邦保险,89.0,7.45,9.14,89.0,89.0,89.0,81.55,681000,55535550.0
1,2,02162,康诺亚-B,66.85,5.35,8.7,66.85,66.85,66.85,61.5,0,0.0
2,3,09626,哔哩哔哩-W,156.1,8.8,5.97,156.1,156.1,156.1,147.3,42320,6233736.0
3,4,01818,招金矿业,8.9,0.47,5.58,8.9,8.9,8.9,8.43,0,0.0
4,5,00700,腾讯控股,350.0,18.4,5.55,350.0,350.0,350.0,331.6,2815858,934045712.0
5,6,01952,云顶新耀-B,16.4,0.8,5.13,16.4,16.4,16.4,15.6,0,0.0
6,7,00270,粤海投资,8.0,0.36,4.71,8.0,8.0,8.0,7.64,496000,3790482.0
7,8,02285,泉峰控股,44.3,1.9,4.48,44.3,44.3,44.3,42.4,0,0.0
8,9,02367,巨子生物,46.5,1.9,4.26,46.5,46.5,46.5,44.6,0,0.0
9,10,00268,金蝶国际,14.7,0.58,4.11,14.7,14.7,14.7,14.12,832000,11747840.0
10,11,02899,紫金矿业,12.2,0.44,3.74,12.2,12.2,12.2,11.76,30000,362070.0
11,12,00990,荣晖国际,0.85,0.03,3.66,0.85,0.85,0.85,0.82,0,0.0
12,13,00966,中国太平,9.26,0.3,3.35,9.26,9.26,9.26,8.96,0,0.0
13,14,03918,金界控股,6.2,0.2,3.33,6.2,6.2,6.2,6.0,0,0.0
14,15,01799,新特能源,19.04,0.6,3.25,19.04,19.04,19.04,18.44,0,0.0
15,16,01250,山高新能源,0.065,0.002,3.17,0.065,0.065,0.065,0.063,0,0.0
16,17,00883,中国海洋石油,11.76,0.36,3.16,11.76,11.76,11.76,11.4,587,6691.0
17,18,03896,金山云,2.08,0.06,2.97,2.08,2.08,2.08,2.02,0,0.0
18,19,00220,统一企业中国,7.98,0.23,2.97,7.98,7.98,7.98,7.75,0,0.0
19,20,01530,三生制药,8.0,0.23,2.96,8.0,8.0,8.0,7.77,0,0.0
20,21,02015,理想汽车-W,86.0,2.25,2.69,86.0,86.0,86.0,83.75,6894500,577414368.0
21,22,00546,阜丰集团,5.01,0.13,2.66,5.01,5.01,5.01,4.88,0,0.0
22,23,01896,猫眼娱乐,8.97,0.23,2.63,8.97,8.97,8.97,8.74,0,0.0
23,24,09666,金科服务,11.98,0.3,2.57,11.98,11.98,11.98,11.68,0,0.0
24,25,00867,康哲药业,12.4,0.3,2.48,12.4,12.4,12.4,12.1,0,0.0
25,26,02328,中国财险,7.45,0.18,2.48,7.45,7.45,7.45,7.27,0,0.0
26,27,02343,太平洋航运,3.5,0.08,2.34,3.5,3.5,3.5,3.42,1551000,5333008.0
27,28,06099,招商证券,7.62,0.17,2.28,7.62,7.62,7.62,7.45,0,0.0
28,29,06660,艾美疫苗,36.2,0.8,2.26,36.2,36.2,36.2,35.4,0,0.0
29,30,06969,思摩尔国际,9.6,0.2,2.13,9.6,9.6,9.6,9.4,0,0.0
30,31,01024,快手-W,51.25,1.05,2.09,51.25,51.25,51.25,50.2,0,0.0
31,32,00285,比亚迪电子,22.0,0.45,2.09,22.0,22.0,22.0,21.55,0,0.0
32,33,03690,美团-W,130.0,2.6,2.04,130.0,130.0,130.0,127.4,2050800,261181315.0
33,34,00425,敏实集团,20.0,0.4,2.04,20.0,20.0,20.0,19.6,52000,1019200.0
34,35,06060,众安在线,22.95,0.45,2.0,22.95,22.95,22.95,22.5,869100,19554750.0
35,36,01928,金沙中国有限公司,26.6,0.5,1.92,26.6,26.6,26.6,26.1,1238000,32252693.0
36,37,01787,山东黄金,14.26,0.26,1.86,14.26,14.26,14.26,14.0,0,0.0
37,38,03347,泰格医药,84.2,1.5,1.81,84.2,84.2,84.2,82.7,0,0.0
38,39,02362,金川国际,0.59,0.01,1.72,0.59,0.59,0.59,0.58,0,0.0
39,40,02607,上海医药,14.44,0.24,1.69,14.44,14.44,14.44,14.2,0,0.0
40,41,01801,信达生物,39.5,0.65,1.67,39.5,39.5,39.5,38.85,0,0.0
41,42,01618,中国中冶,1.88,0.03,1.62,1.88,1.88,1.88,1.85,0,0.0
42,43,00358,江西铜业股份,12.54,0.2,1.62,12.54,12.54,12.54,12.34,0,0.0
43,44,01765,希望教育,0.64,0.01,1.59,0.64,0.64,0.64,0.63,0,0.0
44,45,00467,联合能源集团,0.68,0.01,1.49,0.68,0.68,0.68,0.67,0,0.0
45,46,00506,中国食品,2.84,0.04,1.43,2.84,2.84,2.84,2.8,0,0.0
46,47,02883,中海油田服务,8.56,0.12,1.42,8.56,8.56,8.56,8.44,0,0.0
47,48,02158,医渡科技,7.37,0.1,1.38,7.37,7.37,7.37,7.27,0,0.0
48,49,00665,海通国际,0.74,0.01,1.37,0.74,0.74,0.74,0.73,0,0.0
49,50,02689,玖龙纸业,5.75,0.07,1.23,5.75,5.75,5.75,5.68,0,0.0
50,51,00853,微创医疗,20.75,0.25,1.22,20.75,20.75,20.75,20.5,0,0.0
51,52,06886,华泰证券,8.6,0.1,1.18,8.6,8.6,8.6,8.5,44600,387101.0
52,53,03668,兖煤澳大利亚,34.8,0.4,1.16,34.8,34.8,34.8,34.4,0,0.0
53,54,02799,中国华融,0.445,0.005,1.14,0.445,0.445,0.445,0.44,0,0.0
54,55,00880,澳博控股,3.7,0.04,1.09,3.7,3.7,3.7,3.66,0,0.0
55,56,02233,西部水泥,0.94,0.01,1.08,0.94,0.94,0.94,0.93,0,0.0
56,57,06066,中信建投证券,7.55,0.08,1.07,7.55,7.55,7.55,7.47,0,0.0
