,序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
152,153,06869,长飞光纤光缆,15.32,0.0,0.0,15.32,15.32,15.32,15.32,0,0.0
153,154,06865,福莱特玻璃,19.7,0.0,0.0,19.7,19.7,19.7,19.7,552,10808.0
154,155,06862,海底捞,21.0,0.0,0.0,21.0,21.0,21.0,21.0,0,0.0
155,156,06855,亚盛医药-B,23.15,0.0,0.0,23.15,23.15,23.15,23.15,0,0.0
156,157,06826,昊海生物科技,40.4,0.0,0.0,40.4,40.4,40.4,40.4,0,0.0
157,158,06821,凯莱英,96.6,0.0,0.0,96.6,96.6,96.6,96.6,0,0.0
158,159,06818,中国光大银行,2.42,0.0,0.0,2.42,2.42,2.42,2.42,0,0.0
159,160,06808,高鑫零售,2.68,0.0,0.0,2.68,2.68,2.68,2.68,0,0.0
160,161,06806,申万宏源,1.51,0.0,0.0,1.51,1.51,1.51,1.51,0,0.0
161,162,06699,时代天使,107.9,0.0,0.0,107.9,107.9,107.9,107.9,0,0.0
162,163,06698,星空华文,96.0,0.0,0.0,96.0,96.0,96.0,96.0,0,0.0
163,164,06690,海尔智家,25.65,0.0,0.0,25.65,25.65,25.65,25.65,278800,7151220.0
164,165,06689,洪九果品,33.25,0.0,0.0,33.25,33.25,33.25,33.25,0,0.0
165,166,06680,金力永磁,22.5,0.0,0.0,22.5,22.5,22.5,22.5,0,0.0
166,167,06660,艾美疫苗,41.35,0.0,0.0,41.35,41.35,41.35,41.35,0,0.0
167,168,06655,华新水泥,9.17,0.0,0.0,9.17,9.17,9.17,9.17,0,0.0
168,169,06639,瑞尔集团,13.68,0.0,0.0,13.68,13.68,13.68,13.68,0,0.0
169,170,06616,环球新材国际,4.82,0.0,0.0,4.82,4.82,4.82,4.82,0,0.0
170,171,06610,飞天云动,2.82,0.0,0.0,2.82,2.82,2.82,2.82,0,0.0
171,172,06606,诺辉健康,33.95,0.0,0.0,33.95,33.95,33.95,33.95,0,0.0
172,173,06600,赛生药业,11.04,0.0,0.0,11.04,11.04,11.04,11.04,0,0.0
173,174,06198,青岛港,4.14,0.0,0.0,4.14,4.14,4.14,4.14,0,0.0
174,175,06196,郑州银行,1.1,0.0,0.0,1.1,1.1,1.1,1.1,0,0.0
175,176,06185,康希诺生物,48.85,0.0,0.0,48.85,48.85,48.85,48.85,0,0.0
176,177,06178,光大证券,5.57,0.19,3.53,5.57,5.57,5.57,5.38,0,0.0
177,178,06169,宇华教育,1.21,0.0,0.0,1.21,1.21,1.21,1.21,0,0.0
178,179,06127,昭衍新药,33.45,0.0,0.0,33.45,33.45,33.45,33.45,0,0.0
179,180,06100,同道猎聘,0.0,0.0,0.0,0.0,0.0,0.0,10.92,0,0.0
180,181,06098,碧桂园服务,13.4,0.0,0.0,13.4,13.4,13.4,13.4,0,0.0
181,182,06088,FIT HON TENG,1.82,0.0,0.0,1.82,1.82,1.82,1.82,0,0.0
182,183,06069,盛业,5.44,0.0,0.0,5.44,5.44,5.44,5.44,0,0.0
183,184,06066,中信建投证券,7.73,0.0,0.0,7.73,7.73,7.73,7.73,0,0.0
184,185,06060,众安在线,23.6,0.0,0.0,23.6,23.6,23.6,23.6,0,0.0
185,186,06055,中烟香港,10.2,0.0,0.0,10.2,10.2,10.2,10.2,0,0.0
186,187,06049,保利物业,43.95,0.0,0.0,43.95,43.95,43.95,43.95,0,0.0
187,188,06030,中信证券,16.76,0.0,0.0,16.76,16.76,16.76,16.76,0,0.0
188,189,03990,美的置业,10.06,0.0,0.0,10.06,10.06,10.06,10.06,2968000,29858080.0
189,190,03958,东方证券,4.1,0.0,0.0,4.1,4.1,4.1,4.1,0,0.0
190,191,03933,联邦制药,4.96,0.0,0.0,4.96,4.96,4.96,4.96,0,0.0
191,192,03918,金界控股,5.97,0.0,0.0,5.97,5.97,5.97,5.97,0,0.0
192,193,03913,合景悠活,1.44,0.0,0.0,1.44,1.44,1.44,1.44,0,0.0
193,194,03900,绿城中国,10.38,0.0,0.0,10.38,10.38,10.38,10.38,0,0.0
194,195,03899,中集安瑞科,8.22,0.0,0.0,8.22,8.22,8.22,8.22,0,0.0
195,196,03888,金山软件,30.8,0.0,0.0,30.8,30.8,30.8,30.8,0,0.0
196,197,03877,中国船舶租赁,1.32,0.0,0.0,1.32,1.32,1.32,1.32,0,0.0
197,198,03868,信义能源,2.38,0.0,0.0,2.38,2.38,2.38,2.38,0,0.0
198,199,03866,青岛银行,2.56,0.0,0.0,2.56,2.56,2.56,2.56,0,0.0
