2023-04-29 Saturday 14:40:05 root:INFO:HKGGT, have total 561 stocks.
2023-04-29 Saturday 15:31:02 root:INFO:ggt.py:22：HKGGT, created new csv for 01610, contains 1599 rows.
2023-04-29 Saturday 15:31:03 root:INFO:ggt.py:22：HKGGT, created new csv for 00883, contains 4272 rows.
2023-04-29 Saturday 15:31:05 root:INFO:ggt.py:22：HKGGT, created new csv for 01361, contains 3407 rows.
2023-04-29 Saturday 15:31:06 root:INFO:ggt.py:22：HKGGT, created new csv for 03888, contains 3829 rows.
2023-04-29 Saturday 15:31:08 root:INFO:ggt.py:22：HKGGT, created new csv for 03339, contains 4272 rows.
2023-04-29 Saturday 15:31:10 root:INFO:ggt.py:22：HKGGT, created new csv for 02319, contains 4272 rows.
2023-04-29 Saturday 15:31:12 root:INFO:ggt.py:22：HKGGT, created new csv for 01137, contains 4272 rows.
2023-04-29 Saturday 15:31:13 root:INFO:ggt.py:22：HKGGT, created new csv for 00027, contains 4272 rows.
2023-04-29 Saturday 15:31:14 root:INFO:ggt.py:22：HKGGT, created new csv for 09868, contains 446 rows.
2023-04-29 Saturday 15:31:15 root:INFO:ggt.py:22：HKGGT, created new csv for 00772, contains 1347 rows.
2023-04-29 Saturday 15:31:17 root:INFO:ggt.py:22：HKGGT, created new csv for 00185, contains 4272 rows.
2023-04-29 Saturday 15:31:18 root:INFO:ggt.py:22：HKGGT, created new csv for 01896, contains 1041 rows.
2023-04-29 Saturday 15:31:20 root:INFO:ggt.py:22：HKGGT, created new csv for 06865, contains 1826 rows.
2023-04-29 Saturday 15:31:21 root:INFO:ggt.py:22：HKGGT, created new csv for 01907, contains 1015 rows.
2023-04-29 Saturday 15:31:22 root:INFO:ggt.py:22：HKGGT, created new csv for 02666, contains 1923 rows.
2023-04-29 Saturday 15:31:23 root:INFO:ggt.py:22：HKGGT, created new csv for 00354, contains 3529 rows.
2023-04-29 Saturday 15:31:25 root:INFO:ggt.py:22：HKGGT, created new csv for 00811, contains 3918 rows.
2023-04-29 Saturday 15:31:27 root:INFO:ggt.py:22：HKGGT, created new csv for 02328, contains 4272 rows.
2023-04-29 Saturday 15:31:28 root:INFO:ggt.py:22：HKGGT, created new csv for 03899, contains 4130 rows.
2023-04-29 Saturday 15:31:30 root:INFO:ggt.py:22：HKGGT, created new csv for 00187, contains 4272 rows.
2023-04-29 Saturday 15:31:32 root:INFO:ggt.py:22：HKGGT, created new csv for 01478, contains 2068 rows.
2023-04-29 Saturday 15:31:36 root:INFO:ggt.py:22：HKGGT, created new csv for 01877, contains 1068 rows.
2023-04-29 Saturday 15:31:38 root:INFO:ggt.py:22：HKGGT, created new csv for 00256, contains 4272 rows.
2023-04-29 Saturday 15:31:39 root:INFO:ggt.py:22：HKGGT, created new csv for 03383, contains 4272 rows.
2023-04-29 Saturday 15:31:41 root:INFO:ggt.py:22：HKGGT, created new csv for 00777, contains 3656 rows.
2023-04-29 Saturday 15:31:42 root:INFO:ggt.py:22：HKGGT, created new csv for 01070, contains 4272 rows.
2023-04-29 Saturday 15:31:44 root:INFO:ggt.py:22：HKGGT, created new csv for 02038, contains 4272 rows.
2023-04-29 Saturday 15:31:45 root:INFO:ggt.py:22：HKGGT, created new csv for 09857, contains 176 rows.
2023-04-29 Saturday 15:31:46 root:INFO:ggt.py:22：HKGGT, created new csv for 01375, contains 2178 rows.
2023-04-29 Saturday 15:31:47 root:INFO:ggt.py:22：HKGGT, created new csv for 06066, contains 1571 rows.
2023-04-29 Saturday 15:31:49 root:INFO:ggt.py:22：HKGGT, created new csv for 02357, contains 4272 rows.
2023-04-29 Saturday 15:31:51 root:INFO:ggt.py:22：HKGGT, created new csv for 01199, contains 4272 rows.
2023-04-29 Saturday 15:31:53 root:INFO:ggt.py:22：HKGGT, created new csv for 01088, contains 4272 rows.
2023-04-29 Saturday 15:31:55 root:INFO:ggt.py:22：HKGGT, created new csv for 01898, contains 4024 rows.
2023-04-29 Saturday 15:31:56 root:INFO:ggt.py:22：HKGGT, created new csv for 00598, contains 4272 rows.
2023-04-29 Saturday 15:31:58 root:INFO:ggt.py:22：HKGGT, created new csv for 00990, contains 4272 rows.
2023-04-29 Saturday 15:32:00 root:INFO:ggt.py:22：HKGGT, created new csv for 00338, contains 4272 rows.
2023-04-29 Saturday 15:32:01 root:INFO:ggt.py:22：HKGGT, created new csv for 00861, contains 4272 rows.
2023-04-29 Saturday 15:32:03 root:INFO:ggt.py:22：HKGGT, created new csv for 01359, contains 2306 rows.
2023-04-29 Saturday 15:32:04 root:INFO:ggt.py:22：HKGGT, created new csv for 01972, contains 2774 rows.
2023-04-29 Saturday 15:32:06 root:INFO:ggt.py:22：HKGGT, created new csv for 00165, contains 4272 rows.
2023-04-29 Saturday 15:32:07 root:INFO:ggt.py:22：HKGGT, created new csv for 01157, contains 3036 rows.
2023-04-29 Saturday 15:32:08 root:INFO:ggt.py:22：HKGGT, created new csv for 01997, contains 1336 rows.
2023-04-29 Saturday 15:32:10 root:INFO:ggt.py:22：HKGGT, created new csv for 00546, contains 3990 rows.
2023-04-29 Saturday 15:32:11 root:INFO:ggt.py:22：HKGGT, created new csv for 00136, contains 4272 rows.
2023-04-29 Saturday 15:32:13 root:INFO:ggt.py:22：HKGGT, created new csv for 00826, contains 3880 rows.
2023-04-29 Saturday 15:32:14 root:INFO:ggt.py:22：HKGGT, created new csv for 09626, contains 512 rows.
2023-04-29 Saturday 15:32:15 root:INFO:ggt.py:22：HKGGT, created new csv for 00552, contains 4031 rows.
2023-04-29 Saturday 15:32:16 root:INFO:ggt.py:22：HKGGT, created new csv for 09955, contains 201 rows.
2023-04-29 Saturday 15:32:17 root:INFO:ggt.py:22：HKGGT, created new csv for 03668, contains 1080 rows.
2023-04-29 Saturday 15:32:18 root:INFO:ggt.py:22：HKGGT, created new csv for 01060, contains 4272 rows.
2023-04-29 Saturday 15:32:20 root:INFO:ggt.py:22：HKGGT, created new csv for 03808, contains 3794 rows.
2023-04-29 Saturday 15:32:21 root:INFO:ggt.py:22：HKGGT, created new csv for 02628, contains 4272 rows.
2023-04-29 Saturday 15:32:22 root:INFO:ggt.py:22：HKGGT, created new csv for 02013, contains 1055 rows.
2023-04-29 Saturday 15:32:23 root:INFO:ggt.py:22：HKGGT, created new csv for 09878, contains 292 rows.
2023-04-29 Saturday 15:32:24 root:INFO:ggt.py:22：HKGGT, created new csv for 00763, contains 4272 rows.
2023-04-29 Saturday 15:32:25 root:INFO:ggt.py:22：HKGGT, created new csv for 09886, contains 152 rows.
2023-04-29 Saturday 15:32:26 root:INFO:ggt.py:22：HKGGT, created new csv for 00909, contains 635 rows.
2023-04-29 Saturday 15:32:27 root:INFO:ggt.py:22：HKGGT, created new csv for 03738, contains 1309 rows.
2023-04-29 Saturday 15:32:28 root:INFO:ggt.py:22：HKGGT, created new csv for 00880, contains 3641 rows.
2023-04-29 Saturday 15:32:30 root:INFO:ggt.py:22：HKGGT, created new csv for 00697, contains 4272 rows.
2023-04-29 Saturday 15:32:31 root:INFO:ggt.py:22：HKGGT, created new csv for 00694, contains 4272 rows.
2023-04-29 Saturday 15:32:33 root:INFO:ggt.py:22：HKGGT, created new csv for 00895, contains 3126 rows.
2023-04-29 Saturday 15:32:35 root:INFO:ggt.py:22：HKGGT, created new csv for 00119, contains 4272 rows.
2023-04-29 Saturday 15:32:36 root:INFO:ggt.py:22：HKGGT, created new csv for 01308, contains 3092 rows.
2023-04-29 Saturday 15:32:37 root:INFO:ggt.py:22：HKGGT, created new csv for 03866, contains 1821 rows.
2023-04-29 Saturday 15:32:39 root:INFO:ggt.py:22：HKGGT, created new csv for 03669, contains 2656 rows.
2023-04-29 Saturday 15:32:40 root:INFO:ggt.py:22：HKGGT, created new csv for 01093, contains 4272 rows.
2023-04-29 Saturday 15:32:42 root:INFO:ggt.py:22：HKGGT, created new csv for 00148, contains 4272 rows.
2023-04-29 Saturday 15:32:43 root:INFO:ggt.py:22：HKGGT, created new csv for 02137, contains 442 rows.
2023-04-29 Saturday 15:32:44 root:INFO:ggt.py:22：HKGGT, created new csv for 01799, contains 1803 rows.
2023-04-29 Saturday 15:32:46 root:INFO:ggt.py:22：HKGGT, created new csv for 01171, contains 4272 rows.
2023-04-29 Saturday 15:32:47 root:INFO:ggt.py:22：HKGGT, created new csv for 06049, contains 825 rows.
2023-04-29 Saturday 15:32:48 root:INFO:ggt.py:22：HKGGT, created new csv for 06600, contains 530 rows.
2023-04-29 Saturday 15:32:49 root:INFO:ggt.py:22：HKGGT, created new csv for 06196, contains 1807 rows.
2023-04-29 Saturday 15:32:51 root:INFO:ggt.py:22：HKGGT, created new csv for 00728, contains 4272 rows.
2023-04-29 Saturday 15:32:52 root:INFO:ggt.py:22：HKGGT, created new csv for 00390, contains 3787 rows.
2023-04-29 Saturday 15:32:54 root:INFO:ggt.py:22：HKGGT, created new csv for 00257, contains 4272 rows.
2023-04-29 Saturday 15:32:55 root:INFO:ggt.py:22：HKGGT, created new csv for 00308, contains 4272 rows.
2023-04-29 Saturday 15:32:57 root:INFO:ggt.py:22：HKGGT, created new csv for 00751, contains 4272 rows.
2023-04-29 Saturday 15:32:58 root:INFO:ggt.py:22：HKGGT, created new csv for 00012, contains 4272 rows.
2023-04-29 Saturday 15:32:59 root:INFO:ggt.py:22：HKGGT, created new csv for 03309, contains 1302 rows.
2023-04-29 Saturday 15:33:01 root:INFO:ggt.py:22：HKGGT, created new csv for 01336, contains 2795 rows.
2023-04-29 Saturday 15:33:02 root:INFO:ggt.py:22：HKGGT, created new csv for 01929, contains 2795 rows.
2023-04-29 Saturday 15:33:03 root:INFO:ggt.py:22：HKGGT, created new csv for 09909, contains 820 rows.
2023-04-29 Saturday 15:33:05 root:INFO:ggt.py:22：HKGGT, created new csv for 00200, contains 4272 rows.
2023-04-29 Saturday 15:33:06 root:INFO:ggt.py:22：HKGGT, created new csv for 06198, contains 2191 rows.
2023-04-29 Saturday 15:33:07 root:INFO:ggt.py:22：HKGGT, created new csv for 09979, contains 690 rows.
2023-04-29 Saturday 15:33:08 root:INFO:ggt.py:22：HKGGT, created new csv for 03958, contains 1677 rows.
2023-04-29 Saturday 15:33:09 root:INFO:ggt.py:22：HKGGT, created new csv for 06869, contains 2062 rows.
2023-04-29 Saturday 15:33:10 root:INFO:ggt.py:22：HKGGT, created new csv for 03996, contains 1816 rows.
2023-04-29 Saturday 15:33:11 root:INFO:ggt.py:22：HKGGT, created new csv for 02015, contains 420 rows.
2023-04-29 Saturday 15:33:12 root:INFO:ggt.py:22：HKGGT, created new csv for 02282, contains 2928 rows.
2023-04-29 Saturday 15:33:14 root:INFO:ggt.py:22：HKGGT, created new csv for 00017, contains 4272 rows.
2023-04-29 Saturday 15:33:16 root:INFO:ggt.py:22：HKGGT, created new csv for 01196, contains 4272 rows.
2023-04-29 Saturday 15:33:17 root:INFO:ggt.py:22：HKGGT, created new csv for 00921, contains 4272 rows.
2023-04-29 Saturday 15:33:19 root:INFO:ggt.py:22：HKGGT, created new csv for 00857, contains 4272 rows.
2023-04-29 Saturday 15:33:20 root:INFO:ggt.py:22：HKGGT, created new csv for 03618, contains 3041 rows.
2023-04-29 Saturday 15:33:21 root:INFO:ggt.py:22：HKGGT, created new csv for 01238, contains 3334 rows.
2023-04-29 Saturday 15:33:22 root:INFO:ggt.py:22：HKGGT, created new csv for 09923, contains 717 rows.
2023-04-29 Saturday 15:33:23 root:INFO:ggt.py:22：HKGGT, created new csv for 03678, contains 1803 rows.
2023-04-29 Saturday 15:33:25 root:INFO:ggt.py:22：HKGGT, created new csv for 01065, contains 4272 rows.
2023-04-29 Saturday 15:33:26 root:INFO:ggt.py:22：HKGGT, created new csv for 01996, contains 1183 rows.
2023-04-29 Saturday 15:33:27 root:INFO:ggt.py:22：HKGGT, created new csv for 09992, contains 584 rows.
2023-04-29 Saturday 15:33:28 root:INFO:ggt.py:22：HKGGT, created new csv for 01963, contains 2332 rows.
2023-04-29 Saturday 15:33:30 root:INFO:ggt.py:22：HKGGT, created new csv for 01448, contains 2301 rows.
2023-04-29 Saturday 15:33:31 root:INFO:ggt.py:22：HKGGT, created new csv for 01349, contains 2333 rows.
2023-04-29 Saturday 15:33:33 root:INFO:ggt.py:22：HKGGT, created new csv for 01966, contains 3255 rows.
2023-04-29 Saturday 15:33:35 root:INFO:ggt.py:22：HKGGT, created new csv for 01456, contains 1925 rows.
2023-04-29 Saturday 15:33:37 root:INFO:ggt.py:22：HKGGT, created new csv for 01128, contains 3337 rows.
2023-04-29 Saturday 15:33:38 root:INFO:ggt.py:22：HKGGT, created new csv for 06837, contains 2708 rows.
2023-04-29 Saturday 15:33:39 root:INFO:ggt.py:22：HKGGT, created new csv for 01860, contains 1076 rows.
2023-04-29 Saturday 15:33:41 root:INFO:ggt.py:22：HKGGT, created new csv for 03323, contains 4209 rows.
2023-04-29 Saturday 15:33:43 root:INFO:ggt.py:22：HKGGT, created new csv for 01033, contains 4272 rows.
2023-04-29 Saturday 15:33:45 root:INFO:ggt.py:22：HKGGT, created new csv for 02314, contains 4272 rows.
2023-04-29 Saturday 15:33:46 root:INFO:ggt.py:22：HKGGT, created new csv for 01888, contains 4032 rows.
2023-04-29 Saturday 15:33:48 root:INFO:ggt.py:22：HKGGT, created new csv for 01882, contains 4021 rows.
2023-04-29 Saturday 15:33:49 root:INFO:ggt.py:22：HKGGT, created new csv for 02618, contains 472 rows.
2023-04-29 Saturday 15:33:53 root:INFO:ggt.py:22：HKGGT, created new csv for 00215, contains 3443 rows.
2023-04-29 Saturday 15:33:56 root:INFO:ggt.py:22：HKGGT, created new csv for 06862, contains 1128 rows.
2023-04-29 Saturday 15:33:57 root:INFO:ggt.py:22：HKGGT, created new csv for 01816, contains 2062 rows.
2023-04-29 Saturday 15:33:59 root:INFO:ggt.py:22：HKGGT, created new csv for 01108, contains 4272 rows.
2023-04-29 Saturday 15:34:02 root:INFO:ggt.py:22：HKGGT, created new csv for 00586, contains 2301 rows.
2023-04-29 Saturday 15:34:04 root:INFO:ggt.py:22：HKGGT, created new csv for 00358, contains 4272 rows.
2023-04-29 Saturday 15:34:05 root:INFO:ggt.py:22：HKGGT, created new csv for 03933, contains 3907 rows.
2023-04-29 Saturday 15:34:08 root:INFO:ggt.py:22：HKGGT, created new csv for 00123, contains 4272 rows.
2023-04-29 Saturday 15:34:09 root:INFO:ggt.py:22：HKGGT, created new csv for 01119, contains 1080 rows.
2023-04-29 Saturday 15:34:12 root:INFO:ggt.py:22：HKGGT, created new csv for 00506, contains 4272 rows.
2023-04-29 Saturday 15:34:13 root:INFO:ggt.py:22：HKGGT, created new csv for 02611, contains 1490 rows.
2023-04-29 Saturday 15:34:15 root:INFO:ggt.py:22：HKGGT, created new csv for 02039, contains 2545 rows.
2023-04-29 Saturday 15:34:16 root:INFO:ggt.py:22：HKGGT, created new csv for 01658, contains 1621 rows.
2023-04-29 Saturday 15:34:17 root:INFO:ggt.py:22：HKGGT, created new csv for 03396, contains 1929 rows.
2023-04-29 Saturday 15:34:19 root:INFO:ggt.py:22：HKGGT, created new csv for 03908, contains 1839 rows.
2023-04-29 Saturday 15:34:20 root:INFO:ggt.py:22：HKGGT, created new csv for 03896, contains 78 rows.
2023-04-29 Saturday 15:34:22 root:INFO:ggt.py:22：HKGGT, created new csv for 00522, contains 4272 rows.
2023-04-29 Saturday 15:34:23 root:INFO:ggt.py:22：HKGGT, created new csv for 06806, contains 988 rows.
