,date,value
1069,2022-10-17,6.36
1070,2022-10-18,6.16
1071,2022-10-19,6.15
1072,2022-10-20,5.91
1073,2022-10-21,6.1
1074,2022-10-24,5.23
1075,2022-10-25,5.3
1076,2022-10-26,5.43
1077,2022-10-27,5.19
1078,2022-10-28,4.73
1079,2022-10-31,4.4
1080,2022-11-01,4.69
1081,2022-11-02,5.26
1082,2022-11-03,5.34
1083,2022-11-04,6.16
1084,2022-11-07,6.75
1085,2022-11-08,6.65
1086,2022-11-09,6.94
1087,2022-11-10,6.99
1088,2022-11-11,8.46
1089,2022-11-14,10.71
1090,2022-11-15,12.66
1091,2022-11-16,11.02
1092,2022-11-17,11.47
1093,2022-11-18,10.95
1094,2022-11-21,10.66
1095,2022-11-22,10.09
1096,2022-11-23,10.07
1097,2022-11-24,11.2
1098,2022-11-25,12.22
1099,2022-11-28,10.89
1100,2022-11-29,12.38
1101,2022-11-30,12.27
1102,2022-12-01,12.58
1103,2022-12-02,12.01
1104,2022-12-05,14.18
1105,2022-12-06,14.69
1106,2022-12-07,13.15
1107,2022-12-08,13.99
1108,2022-12-09,15.37
1109,2022-12-12,12.75
1110,2022-12-13,12.96
1111,2022-12-14,12.16
1112,2022-12-15,11.98
1113,2022-12-16,12.81
1114,2022-12-19,12.86
1115,2022-12-20,11.86
1116,2022-12-21,11.92
1117,2022-12-22,12.41
1118,2022-12-23,12.47
1119,2022-12-28,12.33
1120,2022-12-29,12.1
1121,2022-12-30,12.47
1122,2023-01-03,12.43
1123,2023-01-04,13.89
1124,2023-01-05,13.73
1125,2023-01-06,14.08
1126,2023-01-09,13.34
1127,2023-01-10,13.31
1128,2023-01-11,13.73
1129,2023-01-12,12.86
1130,2023-01-13,13.15
1131,2023-01-16,13.09
1132,2023-01-17,12.93
1133,2023-01-18,12.22
1134,2023-01-19,13.02
1135,2023-01-20,13.51
1136,2023-01-26,14.34
1137,2023-01-27,14.63
1138,2023-01-30,13.76
1139,2023-01-31,13.6
1140,2023-02-01,13.92
1141,2023-02-02,13.09
1142,2023-02-03,12.14
1143,2023-02-06,11.39
1144,2023-02-07,11.45
1145,2023-02-08,11.21
1146,2023-02-09,11.34
1147,2023-02-10,10.53
1148,2023-02-13,10.87
1149,2023-02-14,11.05
1150,2023-02-15,10.42
1151,2023-02-16,10.62
1152,2023-02-17,10.37
1153,2023-02-20,10.73
1154,2023-02-21,10.68
1155,2023-02-22,10.36
1156,2023-02-23,10.2
1157,2023-02-24,9.69
1158,2023-02-27,9.78
1159,2023-02-28,9.33
1160,2023-03-01,10.16
1161,2023-03-02,10.01
1162,2023-03-03,10.29
1163,2023-03-06,10.01
1164,2023-03-07,9.84
1165,2023-03-08,9.14
1166,2023-03-09,8.94
1167,2023-03-10,8.6
1168,2023-03-13,8.37
1169,2023-03-14,7.92
1170,2023-03-15,8.28
1171,2023-03-16,8.23
1172,2023-03-17,8.6
1173,2023-03-20,8.19
1174,2023-03-21,8.31
1175,2023-03-22,8.56
1176,2023-03-23,8.7
1177,2023-03-24,8.28
1178,2023-03-27,7.89
1179,2023-03-28,8.08
1180,2023-03-29,20.84
1181,2023-03-30,22.39
1182,2023-03-31,21.05
1183,2023-04-03,21.21
1184,2023-04-04,20.34
1185,2023-04-06,19.91
1186,2023-04-11,22.2
1187,2023-04-12,22.92
1188,2023-04-13,23.07
1189,2023-04-14,23.1
1190,2023-04-18,22.76
