,date,value
245,2019-06-18,42.25
246,2019-06-19,42.71
247,2019-06-20,44.07
248,2019-06-21,44.73
249,2019-06-24,45.8
250,2019-06-25,45.49
251,2019-06-26,46.2
252,2019-06-27,46.25
253,2019-06-28,45.75
254,2019-07-02,46.66
255,2019-07-03,47.37
256,2019-07-04,45.95
257,2019-07-05,45.29
258,2019-07-08,46.15
259,2019-07-09,45.54
260,2019-07-10,47.47
261,2019-07-11,48.13
262,2019-07-12,49.7
263,2019-07-15,49.9
264,2019-07-16,49.14
265,2019-07-17,49.29
266,2019-07-18,48.03
267,2019-07-19,47.92
268,2019-07-22,47.98
269,2019-07-23,47.57
270,2019-07-24,47.82
271,2019-07-25,48.89
272,2019-07-26,47.77
273,2019-07-29,48.94
274,2019-07-30,48.63
275,2019-07-31,48.28
276,2019-08-01,46.56
277,2019-08-02,45.85
278,2019-08-05,44.33
279,2019-08-06,44.07
280,2019-08-07,46.0
281,2019-08-08,46.66
282,2019-08-09,45.8
283,2019-08-12,45.49
284,2019-08-13,45.34
285,2019-08-14,46.05
286,2019-08-15,46.25
287,2019-08-16,47.32
288,2019-08-19,47.82
289,2019-08-20,47.52
290,2019-08-21,48.68
291,2019-08-22,48.53
292,2019-08-23,38.85
293,2019-08-26,40.24
294,2019-08-27,41.63
295,2019-08-28,41.81
296,2019-08-29,42.27
297,2019-08-30,42.0
298,2019-09-02,42.37
299,2019-09-03,42.37
300,2019-09-04,42.64
301,2019-09-05,44.4
302,2019-09-06,44.68
303,2019-09-09,43.11
304,2019-09-10,41.72
305,2019-09-11,41.16
306,2019-09-12,41.07
307,2019-09-13,42.74
308,2019-09-16,41.72
309,2019-09-17,41.9
310,2019-09-18,42.64
311,2019-09-19,43.01
312,2019-09-20,41.81
313,2019-09-23,41.44
314,2019-09-24,42.0
315,2019-09-25,42.09
316,2019-09-26,43.11
317,2019-09-27,41.35
318,2019-09-30,41.81
319,2019-10-02,41.72
320,2019-10-03,43.2
321,2019-10-04,43.75
322,2019-10-08,43.11
323,2019-10-09,45.33
324,2019-10-10,44.96
325,2019-10-11,44.96
326,2019-10-14,46.34
327,2019-10-15,45.6
328,2019-10-16,46.81
329,2019-10-17,46.99
330,2019-10-18,46.99
331,2019-10-21,47.08
332,2019-10-22,45.97
333,2019-10-23,46.07
334,2019-10-24,45.79
335,2019-10-25,46.71
336,2019-10-28,48.01
337,2019-10-29,49.21
338,2019-10-30,48.1
339,2019-10-31,49.3
340,2019-11-01,49.3
341,2019-11-04,50.78
342,2019-11-05,51.52
343,2019-11-06,50.6
