代码,序号,名称,最新价,成交量,成交额,市盈率(TTM),市净率
00135,415,昆仑能源,6.61,9557622,63585763.0,8.69,0.85
01065,416,天津创业环保股份,3.21,22000,70480.0,5.83,0.55
00467,417,联合能源集团,0.76,17840000,13546720.0,7.83,1.36
00512,418,远大医药,4.55,1492500,6897250.0,8.45,1.19
01302,419,先健科技,3.02,9660000,29422820.0,39.48,4.61
01193,420,华润燃气,33.75,2423107,82252301.0,12.62,1.96
01208,421,五矿资源,2.24,20068000,45395312.0,7.12,1.19
02338,422,潍柴动力,11.78,7818994,92747108.0,20.64,1.31
00564,423,郑煤机,8.05,1602600,13057052.0,5.56,0.76
00576,424,浙江沪杭甬,6.54,876426,5779131.0,6.89,0.9
01622,425,力高集团,1.44,1124000,1619000.0,12.36,0.59
06606,426,诺辉健康-B,32.25,3833120,123722791.0,-48.76,6.08
00991,427,大唐发电,1.41,23002000,32731700.0,-2.34,0.8
01691,428,JS环球生活,9.55,886980,8516241.0,10.88,2.42
02257,429,圣诺医药-B,51.15,82700,4273720.0,-2.57,3.23
00338,430,上海石油化工股份,1.36,11725000,16170460.0,-7.03,0.49
00038,431,第一拖拉机股份,4.08,1810000,7488460.0,6.13,0.71
01071,432,华电国际电力股份,3.38,10660000,36280858.0,-11.43,0.49
02343,433,太平洋航运,2.68,18418000,49816616.0,1.56,0.88
00656,434,复星国际,7.33,2273548,16974816.0,5.87,0.41
01477,435,欧康维视生物-B,10.66,1491500,16300880.0,-16.39,2.13
01112,436,H&H国际控股,13.24,693000,9229249.0,15.16,1.19
01234,437,中国利郎,3.97,210000,854360.0,8.96,1.08
01821,438,ESR,14.54,4947100,72305871.0,15.85,0.99
02020,439,安踏体育,105.1,10189009,1082664752.0,32.66,7.71
01877,440,君实生物,32.8,879400,29387180.0,-15.22,4.46
06989,441,卓越商企服务,3.92,733354,2896091.0,7.43,1.14
00981,442,中芯国际,16.74,23014755,388901664.0,9.35,0.89
00732,443,信利国际,1.28,11576000,15117300.0,3.63,0.36
00189,444,东岳集团,8.91,6869012,61927836.0,5.43,1.21
06127,445,昭衍新药,35.0,510204,18166247.0,18.01,2.21
01171,446,兖矿能源,22.1,11367005,253011858.0,3.04,1.27
01787,447,山东黄金,13.82,2723750,37846467.0,30.91,2.49
00185,448,正商实业,1.23,929000,1157130.0,5.73,0.25
02727,449,上海电气,1.84,2998000,5587510.0,-3.71,0.46
02157,450,乐普生物-B,6.74,1379000,9477700.0,-11.34,7.93
02899,451,紫金矿业,12.08,28888392,352055504.0,13.67,3.41
00806,452,惠理集团,3.02,399000,1225550.0,-30.55,1.19
01513,453,丽珠医药,27.1,549301,15078948.0,12.53,1.71
00535,454,金地商置,0.6,11162000,6849840.0,2.12,0.4
02039,455,中集集团,5.98,463450,2807726.0,29.65,0.64
01766,456,中国中车,3.54,10351604,36855260.0,9.31,0.62
01233,457,时代中国控股,1.18,19935000,24489920.0,1.28,0.11
00027,458,银河娱乐,52.5,7306598,387428544.0,-486.6,3.52
00880,459,澳博控股,4.07,13262750,54727895.0,-4.75,1.6
00303,460,VTECH HOLDINGS,49.0,567838,28067680.0,8.87,2.7
01117,461,现代牧业,1.15,11758000,13912000.0,7.56,0.7
00856,462,伟仕佳杰,4.6,2042000,9543160.0,5.7,0.88
09878,463,汇通达网络,37.05,170600,6378330.0,-445.54,2.27
01929,464,周大福,15.84,8449162,134992119.0,24.49,4.99
09989,465,海普瑞,5.6,1259000,7141172.0,17.22,0.6
00023,466,东亚银行,10.08,1501440,15206604.0,6.2,0.28
01618,467,中国中冶,1.67,9475000,16068060.0,3.49,0.35
01478,468,丘钛科技,4.97,706000,3554876.0,10.98,1.05
01316,469,耐世特,5.41,4141912,22716304.0,71.62,0.92
03933,470,联邦制药,4.82,1594000,7788312.0,7.53,0.77
00520,471,呷哺呷哺,7.92,15168500,122505784.0,-14.07,4.56
01128,472,永利澳门,8.43,15208554,129468994.0,-6.67,-3.27
01138,473,中远海能,7.84,10437900,82730290.0,-7.06,1.11
02359,474,药明康德,90.0,2195339,199825867.0,27.03,5.38
09997,475,康基医疗,9.23,612500,5740215.0,23.14,2.89
09926,476,康方生物-B,42.4,7456600,318205312.0,-23.82,11.69
02233,477,西部水泥,0.97,44210000,43599120.0,3.8,0.39
00604,478,深圳控股,1.45,2518500,3696545.0,-7.36,0.27
01177,479,中国生物制药,4.24,47327661,201969870.0,8.48,2.26
06865,480,福莱特玻璃,21.15,2958597,63596950.0,21.53,3.06
00384,481,中国燃气,12.1,7526017,91080492.0,9.66,1.13
02255,482,海昌海洋公园,1.86,14050244,26285838.0,22.15,3.71
06869,483,长飞光纤光缆,15.7,5648100,90035413.0,10.55,1.09
02038,484,富智康集团,0.92,8333000,7801420.0,15.29,0.48
00995,485,安徽皖通高速公路,7.16,2360000,17123738.0,7.42,0.92
01528,486,红星美凯龙,3.57,5321013,19368284.0,10.81,0.26
02689,487,玖龙纸业,6.65,9844038,65521042.0,8.15,0.57
00358,488,江西铜业股份,13.12,5484116,72703439.0,6.85,0.59
00317,489,中船防务,7.79,1684000,13236340.0,102.63,0.66
09995,490,荣昌生物-B,56.15,3959050,225192572.0,100.04,5.25
00013,491,和黄医药,25.9,4917000,129541575.0,-11.19,3.57
00587,492,海螺环保,3.02,4912630,15035295.0,8.38,1.78
00553,493,南京熊猫电子股份,3.88,536000,2148580.0,74.98,0.91
00187,494,京城机电股份,3.44,2350000,8208300.0,379.18,1.58
02380,495,中国电力,3.41,48603281,166980131.0,-29.87,1.11
01176,496,珠光控股,0.84,370000,315560.0,-9.19,0.83
00558,497,力劲科技,9.98,13417751,136898335.0,23.98,3.86
06100,498,同道猎聘,13.24,3533600,47313048.0,23.97,1.89
01999,499,敏华控股,8.18,5153061,42856694.0,13.63,2.93
00867,500,康哲药业,12.96,1729069,22617692.0,8.52,1.96
06655,501,华新水泥,8.88,412700,3757311.0,4.18,0.62
00658,502,中国高速传动,3.57,2068000,7515556.0,9.72,0.47
00242,503,信德集团,1.58,2752819,4429912.0,6.62,0.14
01456,504,国联证券,3.9,1418000,5600375.0,11.41,0.6
00665,505,海通国际,0.78,26613600,21075222.0,-1.55,0.21
02137,506,腾盛博药-B,6.56,38364000,258534780.0,-2.62,1.28
01801,507,信达生物,40.4,8055279,330481248.0,-27.89,5.53
01772,508,赣锋锂业,64.5,4329879,282989552.0,6.71,3.03
00819,509,天能动力,10.62,3015999,32457669.0,7.31,0.77
01108,510,洛阳玻璃股份,9.04,644000,5943980.0,25.63,1.29
06826,511,昊海生物科技,43.15,255100,11203615.0,32.85,1.2
00667,512,中国东方教育,5.99,6428500,39142967.0,36.57,2.01
01361,513,361度,3.68,875000,3269890.0,8.66,0.85
02208,514,金风科技,7.35,7492360,56022156.0,10.89,0.8
01548,515,金斯瑞生物科技,22.0,11451890,257105597.0,-15.29,7.83
06616,516,环球新材国际,5.09,3089000,15860800.0,29.78,2.28
02171,517,科济药业-B,15.84,2029500,32778879.0,-10.67,2.78
02162,518,康诺亚-B,66.6,918000,61329678.0,-62.89,4.38
00506,519,中国食品,2.8,512000,1452660.0,10.31,1.25
03993,520,洛阳钼业,4.52,21918316,99769990.0,12.88,1.74
00650,521,普达特科技,1.02,3576000,3645060.0,-31.61,3.12
06186,522,中国飞鹤,6.79,23019572,158878431.0,9.78,2.41
03347,523,泰格医药,94.85,1138775,108329617.0,27.69,3.9
02279,524,雍禾医疗,9.1,903500,8337265.0,42.12,2.27
00123,525,越秀地产,11.44,12960882,149085032.0,10.11,0.65
00020,526,商汤-W,2.65,230422236,626595584.0,-4.57,2.44
01812,527,晨鸣纸业,2.55,2682500,7008055.0,55.53,0.38
02362,528,金川国际,0.63,24837000,16030700.0,9.25,1.03
02402,529,亿华通,62.95,102700,6544315.0,-40.77,2.79
03759,530,康龙化成,47.0,1262125,60446952.0,32.01,4.96
00345,531,VITASOY INT'L,17.42,1569598,27924140.0,-374.92,5.86
00327,532,百富环球,7.24,1010263,7502336.0,6.16,1.16
02600,533,中国铝业,4.0,36771775,149213486.0,14.31,1.07
00631,534,三一国际,7.84,2485690,19772964.0,15.26,2.31
09956,535,安能物流,5.33,1209500,6603395.0,11.23,2.5
09996,536,沛嘉医疗-B,11.38,2902899,34083025.0,-13.43,2.24
01347,537,华虹半导体,30.55,8315605,258848004.0,11.38,1.69
01475,538,日清食品,6.4,733000,4726870.0,21.57,1.78
01378,539,中国宏桥,7.99,35369386,289670192.0,4.1,0.75
02269,540,药明生物,57.85,40275516,2371843536.0,51.26,6.07
02068,541,中铝国际,1.76,5805000,10511830.0,-5.4,0.87
09696,542,天齐锂业,63.45,3929600,252361972.0,4.93,2.3
01385,543,上海复旦,29.05,4330000,128066750.0,21.77,5.07
06855,544,亚盛医药-B,25.3,5662200,146944892.0,-7.66,7.1
09966,545,康宁杰瑞制药-B,13.76,14703000,206609423.0,-38.83,6.57
02197,546,三叶草生物-B,2.42,46770500,117878885.0,-0.46,15.16
01725,547,香港航天科技,11.02,172165900,2378606560.0,-30.48,8.31
09969,548,诺诚健华-B,8.85,54328393,493769776.0,-14.31,1.83
